Gene	logFC	padj.value
CRTAP	-0.145	0.588133
CRTC1	0.0185	0.879561
CRTC2	0.102	0.637331
CRTC3	0.149	0.485729
CRX	-0.00000751	1
CRY1	-0.423	0.097074
CRY2	0.0434	0.312978
CRYAA	0.000566	0.57691
CRYAB	0.0231	0.476508
CRYBA1	-1.33E-14	1
CRYBA2	-1.33E-14	1
CRYBA4	-0.00077	0.742731
CRYBB1	0.0075	0.901048
CRYBB2	0.154	0.181708
CRYBB2P1	0.00455	1
CRYBB3	-0.00691	0.969338
CRYBG3	-0.149	0.805004
CRYGA	-0.000473	0.775181
CRYGB	-0.00572	0.830115
CRYGC	-0.00268	1
CRYGD	-0.0362	0.752301
CRYGN	0.0111	0.916037
CRYGS	-0.0199	0.93639
CRYL1	0.0816	0.771804
CRYM	0.0327	0.783779
CRYZ	-0.433	0.231722
CRYZL1	-0.215	0.143776
CSAD	-0.132	0.739898
CSDC2	0.00341	1
CSDE1	-0.107	0.301365
CSE1L	-0.197	0.388147
CSF1	-0.00145	0.9662
CSF1R	0.162	0.718749
CSF2	-0.00846	0.719942
CSF2RB	0.00998	1
CSF3	0.0119	0.478887
CSF3R	0.149	0.301573
CSGALNACT1	-0.228	0.60719
CSGALNACT2	-0.0898	0.899359
CSH1	0.0575	0.487346
CSH2	0.0105	0.729925
CSHL1	-0.00161	1
CSK	0.194	0.066509
CSMD1	-0.00664	0.794714
CSMD2	0.00794	0.570565
CSMD3	0.00091	1
CSN1S1	-0.000453	1
CSN1S2AP	0.0944	0.321135
CSN2	0.00955	0.978503
CSN3	0.00303	0.974755
CSNK1A1	-0.159	0.179417
CSNK1A1P1	-0.0129	0.734943
CSNK1D	0.31	0.140721
CSNK1E	-0.0775	0.199069
CSNK1G1	-0.0363	0.626573
CSNK1G2	-0.0304	0.787397
CSNK1G2-AS1	-1.33E-14	1
CSNK1G3	-0.274	0.119188
CSNK2A1	0.0626	0.71113
CSNK2A2	-0.0184	1
CSNK2B	0.0634	0.574028
CSPG4	0.000269	0.916037
CSPG5	0.00135	0.28373
CSPP1	-0.0237	0.192426
CSRNP1	0.566	0.011252
CSRNP2	-0.0537	0.442726
CSRNP3	-1.33E-14	1
CSRP1	0.0497	0.849018
CSRP2	0.0346	0.834823
CSRP2BP	-0.0594	0.300336
CSRP3	-0.00177	0.832319
CST1	0.0224	0.658201
CST11	0.00457	0.494733
CST13P	-1.33E-14	1
CST2	0.0138	0.810455
CST3	0.0216	1
CST4	0.142	0.16911
CST5	0.00338	0.48061
CST6	0.00264	0.258638
CST7	0.423	0.027013
CST8	-1.33E-14	1
CST9	0.00922	0.859603
CST9L	0.000615	0.565579
CSTA	-0.317	0.081888
CSTB	-0.00956	1
CSTF1	0.0000793	1
CSTF2	-0.107	0.637803
CSTF2T	-0.0329	0.946951
CSTF3	-0.151	0.274846
CSTF3-AS1	-0.000622	0.781938
CSTL1	-0.000407	0.884251
CT62	-0.00276	0.844683
CT83	-1.33E-14	1
CTAG2	-0.00819	0.768277
CTAGE1	-1.33E-14	1
CTAGE11P	0.0223	0.650036
CTAGE5	0.0737	0.792111
CTBP1	-0.0817	0.574248
CTBP1-AS	0.0153	0.950492
CTBP1-AS2	-0.0833	0.849549
CTBP2	0.129	0.321489
CTBS	-0.161	0.387677
CTC1	-0.0794	0.718749
CTCF	-0.0691	0.741499
CTCFL	-0.00173	0.831886
CTDNEP1	0.135	0.309129
CTDP1	0.378	0.120805
CTDSP1	0.181	0.055193
CTDSP2	0.089	0.742731
CTDSPL	0.393	0.064821
CTDSPL2	-0.271	0.124002
CTF1	-0.00111	0.862618
CTGF	-0.00181	0.832319
CTH	-0.0143	0.794714
CTHRC1	0.00104	0.513913
CTIF	0.012	0.86184
CTLA4	-0.0385	0.542546
CTNNA1	0.156	0.380669
CTNNA2	0.000947	0.780858
CTNNA3	-0.000577	0.768309
CTNNAL1	0.00602	1
CTNNB1	-0.015	0.979533
CTNNBIP1	0.0101	1
CTNNBL1	0.119	0.391104
CTNND1	0.0713	0.878752
CTNND2	-1.33E-14	1
CTNS	0.0998	0.35328
CTPS1	-0.137	0.527104
CTPS2	-0.0486	0.545974
CTR9	0.0234	0.991607
CTRB2	0.153	0.688114
CTRC	0.0385	0.852514
CTRL	0.0132	1
CTSA	0.23	0.113248
CTSB	0.11	0.631766
CTSC	0.0425	0.874389
CTSD	0.143	0.533978
CTSE	-0.0879	0.8466
CTSF	-0.00105	1
CTSG	0.0618	1
CTSH	0.0533	0.948023
CTSK	-0.191	0.222516
CTSL	0.27	0.287728
CTSO	-0.24	0.438825
CTSS	-0.134	0.063992
CTSV	0.00512	1
CTSW	0.309	0.394173
CTSZ	0.194	0.292982
CTTN	0.359	0.134051
CTTNBP2	0.02	0.519846
CTTNBP2NL	-0.000304	0.714414
CTU2	-0.00276	1
CTXN1	0.00916	0.825778
CTXN3	-0.000126	0.921514
CUBN	0.0381	0.585806
CUEDC1	-0.0303	0.950053
CUEDC2	0.0642	0.715423
CUL1	-0.0473	0.961801
CUL2	-0.108	0.702968
CUL3	-0.0742	0.525535
CUL4A	-0.173	0.533978
CUL4B	-0.191	0.439375
CUL5	-0.25	0.169559
CUL7	0.00448	0.968078
CUL9	0.00684	0.758033
CUTA	-0.199	0.456723
CUTC	-0.061	0.811329
CUX1	0.267	0.021358
CUX2	0.0263	0.594017
CUZD1	0.00586	0.928683
CWC15	-0.158	0.171773
CWC22	-0.0965	0.614861
CWC25	-0.053	0.884581
CWC27	-0.252	0.097074
CWF19L1	0.103	0.373248
CWF19L2	-0.296	0.058587
CWH43	-0.00861	0.719106
CX3CL1	-1.33E-14	1
CX3CR1	0.0753	0.923758
CXADR	-0.0154	0.696814
CXCL1	0.1	0.794217
CXCL10	-0.287	0.608983
CXCL11	-0.000524	0.815399
CXCL12	-0.00179	0.828221
CXCL13	0.000483	0.651026
CXCL14	-0.000227	0.869512
CXCL16	0.403	0.11105
CXCL17	0.00633	1
CXCL2	0.00739	0.458739
CXCL3	-0.00122	0.757793
CXCL5	0.0112	1
CXCL6	0.265	0.173958
CXCL8	-0.0954	0.848039
CXCL9	-0.0112	0.831886
CXCR1	0.279	0.037947
CXCR2	0.0643	0.697079
CXCR3	-0.0547	0.692701
CXCR4	-0.308	0.019146
CXCR5	0.00021	1
CXCR6	-0.0568	0.861544
CXorf21	-0.293	0.140655
CXorf23	-0.0581	0.899057
CXorf36	-1.33E-14	1
CXorf38	-0.103	0.366639
CXorf40B	-0.0272	1
CXorf56	0.0088	0.789
CXorf57	-0.201	0.166009
CXorf58	0.000447	0.840471
CXorf65	-0.0772	0.80598
CXorf67	0.00048	0.797684
CXXC1	0.0469	0.820447
CXXC1P1	-0.00083	0.739311
CXXC4	0.0227	0.585599
CXXC5	-0.0698	0.877347
CYB561	-0.101	0.436325
CYB561A3	-0.0734	0.813055
CYB561D1	-0.03	0.871686
CYB561D2	-0.00618	1
CYB5A	-0.297	0.280421
CYB5B	-0.0701	0.461279
CYB5D1	0.0341	0.491808
CYB5D2	0.0449	0.681528
CYB5R1	0.221	0.062167
CYB5R2	0.167	0.160141
CYB5R3	0.169	0.35978
CYB5R4	-0.0914	0.722568
CYB5RL	0.00386	0.891383
CYBA	0.0861	0.300336
CYBB	0.0226	1
CYBRD1	0.0973	0.833712
CYC1	-0.026	1
CYCS	-0.0217	0.919419
CYFIP1	0.177	0.815399
CYFIP2	-0.0485	0.837994
CYGB	-0.000276	0.856822
CYHR1	0.0713	0.528939
CYLC1	-0.0104	0.519594
CYLC2	0.0000778	1
CYLD	-0.147	0.217354
CYMP	0.00561	0.405096
CYP11A1	-1.33E-14	1
CYP11B1	-1.33E-14	1
CYP11B2	-0.00241	1
CYP17A1	0.0022	0.492152
CYP19A1	0.0272	0.411595
CYP1A1	-0.000754	0.971773
CYP1A2	-0.00324	0.499378
CYP1B1	0.196	0.572602
CYP1B1-AS1	0.249	0.607798
CYP20A1	-0.138	0.49326
CYP21A2	-1.33E-14	1
CYP24A1	0.0104	0.602755
CYP26A1	0.0167	0.629539
CYP26B1	-0.00259	0.825936
CYP27A1	0.494	0.071886
CYP27B1	-0.00128	0.781938
CYP27C1	-0.000966	0.814715
CYP2A13	0.0532	0.803332
CYP2A6	-0.0234	0.876302
CYP2A7	-0.00315	0.833644
CYP2B6	-0.000967	0.731069
CYP2B7P	-0.00012	1
CYP2C18	-1.33E-14	1
CYP2C19	0.0234	0.485181
CYP2C8	-1.33E-14	1
CYP2C9	-1.33E-14	1
CYP2E1	-1.33E-14	1
CYP2J2	-0.00403	0.610428
CYP2R1	-0.304	0.171085
CYP2S1	0.00307	0.7193
CYP2U1	-0.133	0.121294
CYP2W1	0.0328	0.782527
CYP39A1	-0.015	0.733209
CYP3A4	-0.00142	0.79832
CYP3A43	-0.00173	1
CYP3A5	-1.33E-14	1
CYP3A7	-0.00454	0.666025
CYP46A1	-0.00667	0.811377
CYP4A11	0.0709	0.435442
CYP4B1	-1.33E-14	1
CYP4F11	0.0121	0.445704
CYP4F12	0.0391	0.975926
CYP4F2	0.0617	0.314793
CYP4F22	0.0331	0.297914
CYP4F8	0.0644	0.191851
CYP4V2	-0.307	0.254124
CYP4X1	0.0016	0.652191
CYP4Z1	0.0018	0.505383
CYP4Z2P	0.00217	0.788479
CYP51A1	-0.0307	1
CYP51A1-AS1	-0.0000815	0.969338
CYP7A1	-0.000183	0.885167
CYP7B1	-0.0002	0.877481
CYP8B1	0.00956	0.45471
CYR61	0.0165	0.401192
CYS1	-1.33E-14	1
CYSLTR1	-0.458	0.028111
CYSLTR2	0.034	0.478887
CYSRT1	-0.0046	0.752186
CYSTM1	0.374	0.031316
CYTH1	-0.0675	0.565071
CYTH2	0.102	0.538598
CYTH3	-0.0021	0.832564
CYTH4	0.321	0.028111
CYTIP	-0.0685	0.594017
CYTL1	0.0248	0.427328
CYYR1	0.271	0.214756
D2HGDH	-0.0494	0.386322
DAAM1	-0.0722	0.86414
DAAM2	-0.449	0.742731
DAB1	-0.000132	0.906003
DAB2	0.3	0.14461
DAB2IP	0.0251	0.8289
DACH1	0.359	0.06751
DACH2	0.00000562	1
DACT1	-0.0425	0.72739
DACT2	0.00997	0.495162
DACT3	0.0117	0.719317
DACT3-AS1	0.00667	0.488182
DAD1	0.0043	1
DAG1	0.0359	0.350632
DAGLA	-1.33E-14	1
DAGLB	0.0237	0.924714
DALRD3	-0.0791	0.629295
DANCR	-0.216	0.482225
DAND5	-0.00000714	1
DAO	-0.0146	0.907352
DAOA	-0.00219	0.907352
DAP	0.0584	0.855807
DAP3	-0.177	0.228123
DAPK1	0.0198	0.933381
DAPK1-IT1	0.208	0.274588
DAPK2	-0.062	0.918217
DAPK3	0.135	0.236759
DAPL1	0.0253	0.832479
DAPP1	-0.219	0.222637
DARS	-0.231	0.123757
DARS2	0.0127	0.93557
DAW1	-0.00123	0.637331
DAXX	0.0782	0.574248
DAZAP1	-0.0864	0.692767
DAZAP2	-0.0463	0.571624
DAZL	0.000948	0.981372
DBF4	-0.402	0.175694
DBF4B	0.00389	0.498378
DBH	0.0113	0.84714
DBI	-0.321	0.15619
DBIL5P	0.00366	0.841835
DBN1	0.164	0.25628
DBNDD1	0.0676	0.640215
DBNL	0.27	0.054038
DBP	-0.301	0.166482
DBR1	-0.34	0.119188
DBT	-0.0286	0.388002
DCAF10	-0.135	0.250756
DCAF11	0.0404	0.949663
DCAF12	-0.138	0.48061
DCAF12L1	-0.000372	0.844093
DCAF12L2	-0.00122	0.832479
DCAF13	-0.429	0.085906
DCAF15	0.0484	0.929889
DCAF16	-0.124	0.109466
DCAF17	-0.0936	0.140655
DCAF4	-0.15	0.251683
DCAF4L1	-0.0031	0.478887
DCAF4L2	0.00405	0.35328
DCAF5	-0.00432	1
DCAF6	0.011	1
DCAF7	0.0328	0.867947
DCAF8	-0.000626	1
DCAKD	0.0285	0.6415
DCANP1	0.00173	1
DCBLD1	0.00214	1
DCBLD2	0.00253	0.791611
DCC	-1.33E-14	1
DCD	-1.33E-14	1
DCDC2	-1.33E-14	1
DCDC2B	0.0421	0.390576
DCHS1	0.0314	0.35355
DCHS2	-0.00406	0.723506
DCK	-0.501	0.038967
DCLK1	-0.000107	0.939083
DCLK2	-1.33E-14	1
DCLK3	0.0116	0.644665
DCLRE1A	-0.0506	0.494733
DCLRE1B	-0.00659	1
DCLRE1C	-0.0747	0.724828
DCN	-0.00000269	1
DCP1A	0.0914	0.395947
DCP1B	-0.0344	0.978122
DCP2	-0.117	0.553754
DCPS	-0.0187	1
DCST1	0.0143	0.502521
DCST2	0.0148	0.835387
DCSTAMP	0.0149	0.593486
DCT	-1.33E-14	1
DCTD	-0.192	0.464364
DCTN1	0.258	0.142398
DCTN1-AS1	-0.00159	0.804945
DCTN2	0.125	0.043783
DCTN3	0.00943	1
DCTN4	-0.0601	0.789857
DCTN5	-0.0518	0.832319
DCTN6	-0.295	0.062135
DCTPP1	-0.0885	0.782327
DCUN1D1	-0.279	0.507036
DCUN1D2	-0.0903	0.392779
DCUN1D3	0.239	0.152005
DCUN1D4	-0.23	0.109525
DCUN1D5	-0.0225	0.256028
DCX	-1.33E-14	1
DCXR	0.0035	1
DDA1	0.0097	0.888034
DDAH1	-0.00225	0.832319
DDAH2	0.562	0.002042
DDB1	-0.0512	0.90119
DDB2	-0.00319	1
DDC	-1.33E-14	1
DDC-AS1	-0.0109	0.704815
DDHD1	-0.173	0.117066
DDHD2	-0.447	0.108523
DDI1	-0.000556	0.776527
DDIAS	0.145	0.666462
DDIT3	-0.0397	0.920097
DDIT4	-0.0702	0.932921
DDIT4L	-0.00305	0.839608
DDN	0.00484	0.932329
DDO	0.00736	0.915742
DDOST	-0.111	0.658412
DDR1	0.00159	1
DDR2	0.0107	0.736785
DDRGK1	-0.0128	1
DDT	-0.1	0.736724
DDX1	-0.272	0.274588
DDX10	-0.211	0.420678
DDX11	0.0745	0.827479
DDX11-AS1	0.000545	0.660052
DDX17	0.0645	0.949416
DDX18	-0.192	0.465536
DDX19A	-0.109	0.588133
DDX20	-0.172	0.121398
DDX21	-0.0332	0.975926
DDX23	0.0992	0.483734
DDX24	-0.0445	0.926535
DDX25	-0.011	0.928159
DDX27	-0.0123	1
DDX28	-0.0834	0.170297
DDX31	-0.000254	0.862198
DDX39A	-0.092	0.804293
DDX39B	-0.0507	0.835292
DDX3X	-0.144	0.522745
DDX3Y	-0.000223	0.870719
DDX4	-0.00102	0.81849
DDX41	0.0853	0.687307
DDX42	0.0186	1
DDX43	-0.00419	0.873905
DDX46	-0.104	0.481784
DDX47	-0.233	0.366691
DDX49	0.029	0.885071
DDX5	-0.155	0.286779
DDX50	-0.204	0.22487
DDX51	0.0000497	1
DDX52	-0.021	0.86414
DDX53	0.00244	1
DDX54	0.0146	0.926738
DDX55	-0.207	0.27575
DDX56	-0.00193	1
DDX58	-0.0188	1
DDX59	-0.184	0.362238
DDX6	0.0087	1
DDX60	-0.366	0.412015
DDX60L	-0.0853	0.831687
DEAF1	-0.0286	0.91482
DECR1	0.0658	0.535855
DECR2	0.0209	0.904599
DEDD	0.15	0.181708
DEDD2	0.1	0.358461
DEF6	0.132	0.232275
DEF8	0.00153	1
DEFA4	-0.181	0.889073
DEFA5	-0.00106	0.692198
DEFA6	0.000236	0.862016
DEFB1	-0.0197	0.944941
DEFB118	0.0631	0.748598
DEFB119	-0.00337	0.832319
DEFB121	-0.00291	0.697387
DEFB123	-1.33E-14	1
DEFB124	-0.0996	0.745103
DEFB125	-1.33E-14	1
DEFB126	-0.0000114	1
DEFB127	0.00314	0.493628
DEFB129	0.000338	0.687352
DEFB132	-0.00346	1
DEGS1	-0.127	0.254765
DEGS2	0.00795	0.912756
DEK	-0.366	0.096294
DENND1A	0.274	0.078109
DENND1B	-0.000318	0.849549
DENND1C	0.139	0.36865
DENND2A	-0.0091	0.884251
DENND2C	-0.0000066	1
DENND2D	-0.137	0.511306
DENND3	0.0983	0.746174
DENND4A	-0.289	0.131577
DENND4B	0.0661	0.644665
DENND4C	-0.237	0.117066
DENND5A	0.0519	0.832319
DENND5B	-0.00152	0.832319
DENND6A	-0.215	0.171328
DENND6B	-0.00871	1
DENR	-0.289	0.037915
DEPDC1	-0.00333	0.910084
DEPDC1B	-0.0484	0.675289
DEPDC4	-0.000756	0.764417
DEPDC5	-0.0166	0.950053
DEPDC7	-0.0138	0.59856
DEPTOR	-0.00499	0.786887
DERA	0.0349	0.897636
DERL1	-0.0836	0.421508
DERL2	0.0507	0.73832
DERL3	0.0322	0.753703
DES	0.0282	0.733143
DESI1	0.117	0.599938
DESI2	-0.0538	0.660043
DET1	-0.0418	0.930048
DEXI	-0.181	0.553754
DFFA	0.00964	1
DFFB	-0.183	0.534263
DFNA5	-0.0118	0.832617
DFNB31	0.0103	0.169949
DFNB59	-0.000111	0.926352
DGAT1	0.251	0.048941
DGAT2	0.414	0.028111
DGCR10	-0.00133	0.833712
DGCR11	0.0267	0.908053
DGCR14	0.105	0.186239
DGCR2	0.103	0.415514
DGCR5	-0.00162	1
DGCR8	0.00781	1
DGCR9	0.00748	0.983767
DGKA	-0.0825	0.8083
DGKB	-1.33E-14	1
DGKD	-0.00381	1
DGKE	-0.0445	0.437295
DGKG	-0.0106	1
DGKH	0.0277	0.825333
DGKI	-0.00461	0.841854
DGKQ	0.0256	0.927769
DGKZ	-0.128	0.505031
DGUOK	-0.0265	0.897147
DHCR24	0.00876	0.935968
DHCR7	0.12	0.04372
DHDDS	0.0141	0.846977
DHDH	0.00429	1
DHFRL1	-0.17	0.228123
DHH	0.0206	0.531337
DHODH	0.0196	0.711999
DHPS	-0.0264	0.903497
DHRS1	0.0498	0.854306
DHRS11	0.0107	0.78022
DHRS12	0.109	0.678804
DHRS13	0.544	0.004126
DHRS2	-1.33E-14	1
DHRS3	-0.0251	1
DHRS4-AS1	-0.279	0.136116
DHRS7	-0.0161	0.99414
DHRS7B	0.0896	0.630989
DHRS7C	0.00588	0.833216
DHRS9	0.0408	1
DHTKD1	0.149	0.425547
DHX15	-0.202	0.23732
DHX16	0.06	0.661497
DHX29	-0.232	0.25362
DHX30	-0.0362	0.914638
DHX32	0.0576	0.712112
DHX33	-0.123	0.70443
DHX34	0.141	0.376145
DHX35	-0.0792	0.172103
DHX36	-0.0402	0.95927
DHX37	0.0734	0.139801
DHX38	0.0329	0.79118
DHX40	-0.0494	0.831886
DHX57	-0.102	0.526014
DHX58	-0.0039	1
DHX8	0.224	0.22487
DHX9	-0.0222	0.960003
DIABLO	-0.0287	0.906639
DIAPH1	0.211	0.099965
DIAPH2	0.0659	0.93318
DIAPH3	-0.00464	0.748742
DICER1	0.128	0.777554
DICER1-AS1	-0.0102	1
DIDO1	-0.0633	0.494199
DIEXF	-0.241	0.149374
DIMT1	-0.313	0.128257
DIO1	-1.33E-14	1
DIO2	-1.33E-14	1
DIO3	-0.00751	0.832479
DIO3OS	-1.33E-14	1
DIP2A	-0.0011	1
DIP2B	0.0116	1
DIP2C	-0.00663	0.495179
DIRAS1	0.00425	0.84547
DIRAS2	-1.33E-14	1
DIRAS3	-0.00311	0.866597
DIRC1	-0.00464	0.762091
DIRC2	0.317	0.074809
DIRC3	0.0326	0.732569
DIS3	-0.198	0.072181
DIS3L	-0.17	0.580624
DIS3L2	0.00769	0.992638
DISC1	-1.33E-14	1
DISP1	-0.00385	1
DISP2	0.00114	0.869512
DISP3	0.0201	0.832319
DIXDC1	-0.000179	0.976879
DKC1	-0.171	0.313166
DKK1	0.00361	0.412015
DKK2	0.0000488	1
DKK3	-0.00511	0.832479
DKK4	0.000314	0.88507
DKKL1	0.00185	0.909514
DLAT	-0.312	0.057349
DLC1	0.0119	0.501323
DLD	-0.194	0.086786
DLEC1	0.00863	0.871039
DLEU1	-0.143	0.574974
DLEU2	0.0469	0.818951
DLG1	-0.201	0.082998
DLG1-AS1	0.00145	0.923844
DLG2	-1.33E-14	1
DLG3	-0.0004	0.832479
DLG4	0.00772	1
DLG5	0.00112	1
DLG5-AS1	-0.00742	0.806693
DLGAP1	-0.00271	0.952363
DLGAP1-AS1	0.16	0.606882
DLGAP1-AS2	0.12	0.427726
DLGAP2	-1.33E-14	1
DLGAP2-AS1	-0.00000557	1
DLGAP3	0.0146	0.680814
DLGAP4	0.078	0.168349
DLGAP5	-0.0389	0.898466
DLK1	-0.00145	0.795834
DLK2	0.0433	0.299439
DLL1	-0.0000499	1
DLL3	0.0108	0.605791
DLL4	0.0704	0.417112
DLST	-0.0557	0.885167
DLX1	-0.0000276	1
DLX2	0.000927	0.8466
DLX3	0.0303	0.575001
DLX4	0.000192	0.827462
DLX5	-1.33E-14	1
DLX6	-1.33E-14	1
DMAP1	-0.224	0.409031
DMBT1	0.00282	1
DMBX1	-0.00141	1
DMC1	-0.0000021	1
DMD	-0.0000431	1
DMGDH	0.023	0.818951
DMKN	-0.00052	0.885071
DMP1	0.0000315	1
DMPK	0.00364	0.67687
DMRT1	-0.000693	0.997265
DMRT2	-1.33E-14	1
DMRT3	-0.000694	0.829437
DMRTA1	-1.33E-14	1
DMRTA2	0.000814	0.848982
DMRTB1	0.0081	0.644564
DMRTC2	-0.000424	1
DMTF1	-0.299	0.11105
DMTN	-0.0111	1
DMWD	0.0783	0.182676
DMXL1	-0.509	0.059013
DMXL2	-0.3	0.14847
DNA2	-0.0703	0.458739
DNAAF1	-0.107	0.72468
DNAAF2	-0.362	0.058805
DNAAF3	-0.0167	0.786887
DNAAF5	-0.103	0.446591
DNAH1	0.00000615	1
DNAH10	0.00502	0.856859
DNAH11	0.0777	0.509056
DNAH12	0.000000855	1
DNAH14	-0.000462	0.833604
DNAH17	-0.00307	0.998595
DNAH2	0.00204	1
DNAH3	0.00191	0.494199
DNAH5	-0.000348	1
DNAH6	-1.33E-14	1
DNAH7	0.00328	0.694696
DNAH8	0.00157	1
DNAH9	-1.33E-14	1
DNAI1	0.00267	0.675754
DNAI2	-0.000671	1
DNAJA1	-0.13	0.400768
DNAJA2	-0.136	0.166482
DNAJA3	-0.158	0.55378
DNAJA4	-0.116	0.798981
DNAJB1	0.0236	0.971773
DNAJB11	0.000648	1
DNAJB12	0.0866	0.399406
DNAJB13	0.113	0.316612
DNAJB14	-0.269	0.358134
DNAJB2	0.1	0.778773
DNAJB4	-0.0421	0.463807
DNAJB5	-0.0196	0.61132
DNAJB6	0.261	0.049719
DNAJB7	-0.00139	0.587886
DNAJB8	0.0218	0.742731
DNAJB8-AS1	0.000772	0.536777
DNAJB9	-0.189	0.396013
DNAJC1	-0.00104	1
DNAJC10	-0.455	0.064821
DNAJC11	0.0128	0.971773
DNAJC12	-0.00659	0.676436
DNAJC13	0.0353	0.788205
DNAJC14	-0.0411	0.825962
DNAJC15	-0.356	0.268922
DNAJC16	0.0661	0.881394
DNAJC17	-0.0389	0.824683
DNAJC18	-0.000177	0.879577
DNAJC19	-0.187	0.262588
DNAJC2	-0.32	0.132161
DNAJC21	-0.275	0.120805
DNAJC22	0.000434	0.566664
DNAJC24	-0.37	0.277437
DNAJC25	0.0492	0.901124
DNAJC27	0.0271	0.413799
DNAJC27-AS1	0.00039	1
DNAJC28	0.00178	1
DNAJC3	0.0726	0.823051
DNAJC3-AS1	-0.081	0.788988
DNAJC30	-0.167	0.51297
DNAJC4	0.0563	0.726899
DNAJC5	0.287	0.097074
DNAJC5B	0.00652	0.586552
DNAJC5G	-0.0000361	1
DNAJC6	0.0576	0.754502
DNAJC7	0.0329	1
DNAJC8	-0.0907	0.504849
DNAJC9-AS1	-0.000882	0.944077
DNAL1	-0.000425	0.83999
DNAL4	0.0413	0.682456
DNALI1	-0.00108	0.907352
DNASE1	0.0109	0.553754
DNASE1L1	0.19	0.135034
DNASE1L2	-0.0154	0.823674
DNASE1L3	-0.0132	0.886164
DNASE2	-0.101	0.655511
DNASE2B	-1.33E-14	1
DNER	-0.000444	0.735187
DNHD1	-1.33E-14	1
DNLZ	-0.033	0.984949
DNM1	0.0529	0.418601
DNM1L	-0.246	0.253407
DNM1P46	0.108	0.274772
DNM2	0.18	0.325867
DNM3	0.026	0.902606
DNMBP	0.207	0.36544
DNMT1	-0.257	0.397501
DNMT3A	0.0441	0.278568
DNMT3B	-0.0273	0.418895
DNMT3L	-1.33E-14	1
DNPEP	-0.0931	0.815399
DNPH1	-0.106	0.837015
DNTT	-0.0000492	1
DNTTIP1	0.0279	0.949329
DNTTIP2	-0.11	0.562545
DOC2A	-0.0115	0.574977
DOCK1	-1.33E-14	1
DOCK10	-0.37	0.405959
DOCK11	-0.0902	0.501799
DOCK2	0.0755	0.769913
DOCK3	0.00816	0.719317
DOCK4	0.0823	0.943697
DOCK4-AS1	0.00099	0.393456
DOCK5	0.232	0.36133
DOCK6	0.0159	0.183788
DOCK7	-0.00753	0.975884
DOCK8	-0.146	0.336738
DOCK9	0.00916	0.708877
DOHH	-0.0727	0.686571
DOK1	0.0251	0.949547
DOK2	0.101	0.778773
DOK3	0.304	0.071998
DOK4	0.244	0.087566
DOK5	0.00169	0.768547
DOK6	-0.000126	0.921707
DOK7	0.000664	0.554765
DOLK	0.0451	0.738868
DOLPP1	0.0135	1
DONSON	-0.243	0.057896
DOPEY1	-0.077	0.108523
DOPEY2	-0.0864	0.712512
DOT1L	0.0405	0.297762
DPAGT1	-0.0511	0.936534
DPCD	-0.0436	0.999602
DPCR1	-0.00036	0.84452
DPEP1	-0.000803	1
DPEP2	-0.166	0.387559
DPEP3	-0.0733	0.906643
DPF1	0.00962	0.942674
DPF2	-0.0231	0.950053
DPH2	-0.0603	0.438283
DPH3	-0.121	0.557572
DPH3P1	0.000803	1
DPH5	-0.248	0.16911
DPH6	-0.00108	0.557572
DPH6-AS1	-0.0000433	1
DPH7	0.029	0.699647
DPM1	-0.28	0.107825
DPM2	-0.0186	1
DPM3	-0.0371	0.941657
DPP10	-1.33E-14	1
DPP3	0.104	0.487718
DPP4	-0.27	0.377939
DPP6	-1.33E-14	1
DPP7	-0.000248	1
DPP8	0.0651	0.661497
DPP9	0.0375	0.360115
DPPA2	-0.0935	0.806279
DPPA4	-1.33E-14	1
DPPA5	0.000437	0.628301
DPT	-0.0000424	1
DPY19L1	-0.137	0.355039
DPY19L2	-0.000193	0.881493
DPY19L2P3	0.00178	0.582494
DPY19L3	0.0147	1
DPY19L4	-0.191	0.202018
DPY30	-0.229	0.204232
DPYD	-0.0245	0.889249
DPYS	-0.0125	0.783721
DPYSL2	0.0853	0.920097
DPYSL3	-0.00388	0.832319
DPYSL4	0.000468	0.942193
DPYSL5	-1.33E-14	1
DQX1	-0.00148	0.942674
DR1	-0.131	0.499882
DRAIC	-0.00284	0.956858
DRAM1	0.272	0.144571
DRAM2	-0.362	0.065573
DRAP1	0.0551	0.858669
DRAXIN	0.00569	0.917731
DRC1	-0.0304	0.675011
DRC3	-0.00408	0.881594
DRC7	-0.000506	1
DRD1	-0.0000664	0.983461
DRD2	0.00567	0.960142
DRD3	-1.33E-14	1
DRD4	-1.33E-14	1
DRD5	0.0396	0.663772
DRG1	-0.0842	0.64984
DRG2	-0.0175	1
DRICH1	0.0597	0.542391
DROSHA	-0.105	0.784374
DRP2	-0.0217	0.681791
DSC1	-0.0879	0.706487
DSC2	-0.0772	0.868708
DSC3	-0.000844	0.923661
DSCAM	0.00397	0.444343
DSCAM-AS1	-1.33E-14	1
DSCAML1	0.000104	1
DSCC1	-0.0293	0.80248
DSCR10	-0.000171	0.891429
DSCR3	-0.00642	1
DSCR4	-1.33E-14	1
DSCR8	-0.00473	0.832319
DSE	0.196	0.392779
DSEL	-1.33E-14	1
DSG1	-0.000259	0.902411
DSG2	-0.0000423	1
DSG3	-0.000767	0.824201
DSN1	-0.139	0.380624
DSP	-0.0508	0.714982
DSPP	-0.00912	1
DST	-0.0000522	1
DSTN	-0.122	0.424641
