Gene	deGoede2017.padj	deGoede2017.logFC
CCDC125	0.636	-0.111
CCDC126	0.99	-0.00108
CCDC127	0.575	0.027
CCDC129	0.99	-0.0187
CCDC13	0.922	-0.00857
CCDC130	0.512	-0.00839
CCDC134	0.974	-0.00651
CCDC136	0.461	0.0278
CCDC137	0.99	-0.0019
CCDC138	0.948	0.0232
CCDC14	0.725	-0.00965
CCDC140	0.137	0.0243
CCDC141	0.99	-0.0143
CCDC142	0.0379	-0.0331
CCDC144A	0.784	0.0325
CCDC144B	0.99	-0.0167
CCDC144CP	0.649	0.0372
CCDC144NL	0.775	-0.0256
CCDC146	0.82	-0.00865
CCDC148	0.99	-0.00158
CCDC148-AS1	0.99	-0.0218
CCDC149	0.718	-0.0426
CCDC15	0.69	-0.00599
CCDC150	0.828	-0.0406
CCDC151	0.679	-0.00962
CCDC152	0.99	0.004
CCDC153	0.99	-0.0199
CCDC154	0.99	-0.0134
CCDC155	0.831	-0.0369
CCDC157	0.99	-0.00418
CCDC158	0.99	-0.0136
CCDC159	0.99	-0.0223
CCDC162P	0.113	-0.0455
CCDC163	0.99	-0.00143
CCDC167	0.00039	-0.0848
CCDC168	0.99	-0.00756
CCDC169-SOHLH2	0.668	-0.0132
CCDC17	0.99	-0.00431
CCDC170	0.99	-0.00313
CCDC171	0.99	0.00278
CCDC172	0.99	-0.0137
CCDC173	0.99	-0.0189
CCDC174	0.828	-0.0113
CCDC175	0.99	-0.0235
CCDC177	0.721	-0.00764
CCDC178	0.0521	0.0423
CCDC179	0.357	-0.0796
CCDC18	0.99	-0.0017
CCDC18-AS1	0.99	0.0176
CCDC181	0.99	-0.015
CCDC183	0.367	-0.0234
CCDC183-AS1	0.505	-0.011
CCDC184	0.99	-0.00505
CCDC185	0.99	-0.0185
CCDC186	0.295	-0.0383
CCDC188	0.99	-0.0119
CCDC189	0.99	-0.00389
CCDC190	0.99	-0.00833
CCDC191	0.704	0.00525
CCDC25	0.24	-0.0329
CCDC27	0.99	-0.0141
CCDC28A	0.726	-0.0293
CCDC28B	0.0988	0.0428
CCDC3	0.825	-0.0863
CCDC30	0.761	-0.00658
CCDC33	0.188	0.0471
CCDC34	0.951	-0.0227
CCDC36	0.99	-0.00534
CCDC38	0.927	-0.00941
CCDC39	0.885	-0.00352
CCDC40	0.959	0.0183
CCDC42	0.933	-0.00879
CCDC43	0.207	-0.0553
CCDC47	0.555	-0.0525
CCDC50	0.000315	0.0975
CCDC51	0.99	-0.00293
CCDC53	0.522	-0.0106
CCDC54	5.41E-05	0.0886
CCDC57	0.0308	0.0655
CCDC58	0.768	-0.0065
CCDC59	0.655	0.00678
CCDC6	0.99	-0.00864
CCDC60	0.99	-0.0134
CCDC61	0.503	0.0248
CCDC62	0.918	-0.00618
CCDC63	0.99	-0.0348
CCDC65	0.99	-0.0334
CCDC66	0.99	-0.00446
CCDC68	0.868	-0.016
CCDC69	0.896	-0.00911
CCDC7	0.927	0.0458
CCDC70	0.603	-0.0142
CCDC71	0.395	0.0196
CCDC71L	0.603	0.02
CCDC73	0.99	-0.00261
CCDC74A	0.0255	-0.0681
CCDC74B	0.368	-0.0593
CCDC77	0.99	-0.00383
CCDC78	0.99	0.000961
CCDC8	0.491	-0.0818
CCDC80	0.0679	0.0595
CCDC81	0.99	-0.0192
CCDC82	0.99	-0.000954
CCDC83	8.88E-05	-0.0421
CCDC84	0.99	-0.0069
CCDC85A	0.00874	0.0779
CCDC85B	0.519	-0.00695
CCDC85C	0.659	0.0208
CCDC86	0.99	-0.0325
CCDC87	0.644	-0.00896
CCDC88A	0.817	0.00714
CCDC88B	0.91	-0.00943
CCDC88C	0.404	0.0623
CCDC89	0.99	-0.0191
CCDC9	0.732	-0.0337
CCDC90B	0.875	0.00873
CCDC91	0.99	-0.0103
CCDC92	0.941	-0.00598
CCDC93	0.99	-0.0211
CCDC94	0.936	-0.0407
CCDC97	0.99	-0.00116
CCER1	0.99	-0.0105
CCER2	0.99	0.00621
CCHCR1	0.99	-0.00593
CCIN	0.99	-0.0557
CCK	0.298	-0.0486
CCKAR	0.99	-0.00806
CCKBR	0.679	-0.00586
CCL1	0.99	-0.0139
CCL11	0.99	-0.0215
CCL13	0.99	0.0125
CCL15-CCL14	0.99	-0.00878
CCL16	0.99	-0.0222
CCL17	0.784	-0.0107
CCL18	0.99	-0.0315
CCL19	0.99	-0.0322
CCL2	0.99	-0.0126
CCL20	0.99	-0.0264
CCL21	0.99	0.00585
CCL22	0.99	0.0158
CCL23	0.99	0.00341
CCL24	0.499	0.0122
CCL25	0.379	-0.00883
CCL26	0.00542	-0.189
CCL27	0.99	-0.00199
CCL28	0.135	-0.148
CCL3	0.99	-0.00924
CCL4	0.608	0.028
CCL5	0.129	0.0322
CCL7	0.99	-0.0111
CCL8	0.99	-0.0222
CCM2	0.466	-0.016
CCM2L	0.0992	-0.0269
CCNA1	0.13	-0.0136
CCNA2	0.63	-0.00639
CCNB1	0.751	-0.00741
CCNB1IP1	0.99	-0.0166
CCNB2	0.99	-0.00597
CCND1	0.0143	0.059
CCND2	0.601	-0.0048
CCND3	0.415	-0.00974
CCNDBP1	0.99	-0.0133
CCNE1	0.99	-0.000726
CCNE2	0.773	-0.00448
CCNF	0.777	-0.013
CCNG1	0.854	-0.00669
CCNG2	0.349	-0.0291
CCNH	0.682	-0.0334
CCNI	0.975	-0.00514
CCNI2	0.142	0.0659
CCNJL	0.99	-0.0309
CCNK	0.99	0.00868
CCNL1	0.412	0.0538
CCNL2	0.99	0.0102
CCNO	0.536	-0.0146
CCNT1	0.967	-0.0317
CCNT2	0.99	0.0101
CCNT2-AS1	0.99	0.00584
CCNY	0.99	-0.05
CCNYL1	0.82	-0.00662
CCP110	0.99	-0.00123
CCR10	0.302	0.0605
CCR2	0.99	-0.0407
CCR3	0.99	-0.028
CCR4	0.664	-0.0209
CCR5	0.99	0.00518
CCR6	0.99	0.0241
CCR7	0.99	-0.00554
CCR8	0.99	-0.00494
CCRL2	0.0437	-0.0891
CCS	0.628	-0.00805
CCSAP	0.99	-0.00442
CCSER1	0.243	-0.00648
CCSER2	0.42	-0.0101
CCT2	0.99	-0.00305
CCT3	0.99	-0.00453
CCT4	0.99	-0.00353
CCT5	0.99	0.0117
CCT6B	0.705	-0.00696
CCT6P3	0.711	0.0603
CCT7	0.727	-0.00485
CCT8	0.989	0.0152
CCT8L2	0.99	-0.0189
CCZ1	0.599	-0.056
CCZ1B	0.187	-0.0155
CD101	0.99	-0.0285
CD109	0.82	-0.0722
CD14	0.964	-0.0211
CD151	0.99	0.00093
CD163	0.618	-0.107
CD163L1	0.0247	0.0619
CD164	0.191	-0.00676
CD164L2	0.112	0.0333
CD177	0.99	-0.0679
CD180	0.00107	0.0643
CD19	0.532	-0.0394
CD1A	0.99	-0.0326
CD1B	0.99	-0.0283
CD1C	0.99	0.0349
CD1D	0.976	-0.00846
CD1E	0.99	-0.00772
CD2	0.296	-0.0669
CD200	0.447	-0.0622
CD200R1	0.99	-0.0168
CD200R1L	0.99	-0.0234
CD207	0.99	0.0546
CD209	0.99	-0.0124
CD22	0.99	-0.0404
CD226	0.955	0.136
CD244	0.99	0.0179
CD247	0.99	0.00555
CD248	0.874	0.0305
CD27	0.99	-0.00189
CD27-AS1	0.742	-0.0598
CD276	0.57	0.0126
CD28	0.132	-0.049
CD2AP	0.0084	-0.0811
CD2BP2	0.918	0.00966
CD300A	0.99	-0.0197
CD300C	0.99	-0.0164
CD300E	0.99	-0.0202
CD300LB	0.99	-0.0337
CD300LD	0.99	-0.00763
CD300LG	0.557	-0.0368
CD320	0.99	-0.00793
CD33	0.99	0.00912
CD34	0.24	-0.089
CD36	0.99	0.0153
CD37	0.89	-0.00912
CD38	0.157	-0.067
CD3D	0.99	0.0728
CD3E	0.99	0.00289
CD3EAP	0.773	0.00557
CD3G	0.99	0.0268
CD4	0.99	0.0562
CD40	0.921	-0.0576
CD44	0.843	0.0148
CD46	0.99	-0.00267
CD47	0.271	0.0139
CD48	0.532	0.0706
CD5	0.99	-0.049
CD52	0.927	-0.0588
CD53	0.99	-0.018
CD55	0.934	0.00713
CD58	0.867	-0.0106
CD59	0.736	-0.0107
CD5L	0.99	-0.0656
CD6	0.99	-0.0102
CD63	0.99	0.00204
CD68	0.99	-0.00858
CD69	0.99	0.0283
CD7	0.373	-0.0312
CD70	0.906	0.00866
CD72	0.99	-0.019
CD74	0.953	-0.00414
CD79A	0.99	-0.0209
CD79B	0.99	-0.0161
CD80	0.99	-0.0313
CD81	0.65	-0.0208
CD82	0.00134	0.0643
CD83	0.927	-0.0119
CD84	0.99	0.0214
CD86	0.268	-0.0459
CD9	0.99	-0.0369
CD93	0.99	-0.0332
CD96	0.931	-0.0199
CDA	0.547	0.0688
CDADC1	0.958	-0.00563
CDAN1	0.99	-0.00917
CDC123	0.99	-0.00388
CDC14A	0.864	-0.00825
CDC14B	0.832	-0.0145
CDC14C	0.913	-0.0426
CDC16	0.0429	-0.0194
CDC20	0.99	-0.00209
CDC20B	0.104	0.0917
CDC23	0.712	-0.00793
CDC25A	0.99	-0.00153
CDC25B	0.423	0.0382
CDC25C	0.632	-0.074
CDC27	0.99	0.0446
CDC34	0.0716	-0.0491
CDC37	0.99	-0.00429
CDC37L1	0.99	-0.0524
CDC40	0.99	-0.00248
CDC42	0.672	-0.00506
CDC42BPA	0.098	0.0873
CDC42BPB	0.25	-0.0259
CDC42BPG	0.99	-0.00496
CDC42EP1	0.000339	-0.0832
CDC42EP2	0.144	0.0411
CDC42EP3	0.99	0.017
CDC42EP4	0.688	-0.0055
CDC42EP5	0.946	-0.0415
CDC42SE1	0.99	-0.00395
CDC42SE2	0.99	-0.00144
CDC45	0.99	-0.00584
CDC5L	0.116	-0.111
CDC6	0.428	-0.0159
CDC7	0.99	-0.00159
CDC73	0.0628	-0.0327
CDCA3	0.112	0.0542
CDCA4	0.908	-0.00411
CDCA5	0.99	0.000875
CDCA7	0.131	-0.0985
CDCA7L	0.882	-0.0247
CDCA8	0.99	-0.00335
CDCP1	0.318	-0.0498
CDCP2	0.99	0.00598
CDH1	0.99	0.00494
CDH10	0.99	-0.0167
CDH11	0.561	-0.0296
CDH12	0.331	-0.0117
CDH13	0.602	-0.0492
CDH15	0.99	-0.0167
CDH16	0.99	-0.0179
CDH17	0.00975	-0.0699
CDH18	0.329	-0.0631
CDH19	0.99	0.0153
CDH2	0.00268	-0.0332
CDH20	0.66	0.0256
CDH22	0.107	-0.0394
CDH23	0.429	0.0104
CDH24	0.99	0.00618
CDH26	0.99	-0.0206
CDH3	0.162	-0.0336
CDH4	0.0254	-0.0816
CDH5	0.99	-0.0296
CDH6	0.715	-0.0549
CDH7	0.99	-0.00298
CDH8	0.0843	-0.075
CDH9	0.881	-0.00628
CDHR1	0.0634	-0.0415
CDHR2	0.514	-0.0368
CDHR3	0.696	0.0238
CDHR4	0.99	-0.0103
CDHR5	0.861	0.0919
CDIP1	0.515	-0.0343
CDK1	0.441	-0.00792
CDK10	0.99	0.0174
CDK11B	0.318	-0.0384
CDK12	0.572	-0.0066
CDK13	0.67	0.0482
CDK14	0.479	-0.00976
CDK15	0.121	0.0566
CDK17	0.868	-0.00607
CDK18	0.99	0.00437
CDK19	0.755	-0.00531
CDK2	0.99	-0.0213
CDK20	0.99	0.0127
CDK2AP1	0.846	0.0613
CDK2AP2	0.856	-0.00474
CDK3	0.99	0.00222
CDK4	0.99	-0.0161
CDK5	0.294	0.0284
CDK5R1	0.99	-0.00108
CDK5R2	0.554	-0.0329
CDK5RAP1	0.817	-0.00588
CDK5RAP2	0.99	-0.00539
CDK5RAP3	0.0834	0.0373
CDK6	5.18E-06	-0.265
CDK7	0.99	-0.00298
CDK8	0.99	-0.00133
CDK9	0.99	-0.00275
CDKAL1	0.99	-0.0057
CDKL1	0.99	0.0212
CDKL2	0.801	0.0441
CDKL3	0.341	0.0648
CDKL4	0.99	-0.00711
CDKN1A	0.821	-0.0173
CDKN1B	0.202	-0.0151
CDKN1C	0.99	0.0244
CDKN2AIP	0.896	-0.011
CDKN2AIPNL	0.99	0.00121
CDKN2B-AS1	0.99	-0.02
CDKN2C	0.0867	0.175
CDKN2D	0.95	-0.0384
CDKN3	0.17	0.0315
CDNF	0.974	-0.00618
CDO1	0.619	-0.00707
CDON	0.188	0.0516
CDPF1	0.99	0.000507
CDR2	0.901	-0.00703
CDR2L	0.048	-0.0395
CDRT15	0.99	-0.0235
CDRT15L2	0.109	-0.0517
CDRT15P1	0.99	-0.0129
CDRT7	0.99	-0.00967
CDS1	0.99	0.0011
CDS2	0.99	-0.00151
CDT1	0.99	-0.00388
CDV3	0.99	-0.00163
CDX1	0.99	0.0151
CDX2	0.777	-0.0503
CDYL	0.00202	0.0741
CDYL2	0.99	-0.00783
CEACAM16	0.99	-0.00454
CEACAM18	0.99	-0.0516
CEACAM19	0.99	-0.0145
CEACAM20	0.99	-0.0143
CEACAM21	0.99	-0.0231
CEACAM22P	0.99	-0.0208
CEACAM3	0.99	-0.0126
CEACAM4	0.99	-0.0221
CEACAM5	0.131	-0.0453
CEACAM6	0.99	-0.0231
CEACAM7	0.99	-0.00999
CEBPA	0.99	0.00165
CEBPA-AS1	0.99	-0.016
CEBPB	0.99	-0.00513
CEBPE	0.99	-0.0438
CEBPG	0.856	-0.00371
CEBPZ	0.99	-0.00102
CEBPZOS	0.99	0.00608
CECR1	0.99	-0.0101
CECR2	0.453	-0.094
CECR3	0.99	-0.0066
CECR5	0.755	-0.00945
CECR5-AS1	0.99	-0.00503
CECR6	0.69	-0.0304
CECR7	0.0269	-0.0817
CEL	0.99	-0.00463
CELA1	0.902	-0.029
CELA2A	0.99	-0.00796
CELA2B	0.99	-0.0121
CELA3B	0.99	-0.0302
CELF1	0.99	-0.00915
CELF2	0.48	-0.0311
CELF3	0.133	-0.0513
CELF4	0.617	-0.0393
CELF5	0.0874	0.0263
CELF6	0.535	0.0268
CELP	0.99	-0.00841
CELSR1	0.00305	-0.095
CELSR2	0.372	-0.00475
CELSR3	0.161	-0.0649
CEMIP	0.99	0.00184
CEMP1	0.99	0.00355
CEND1	0.425	-0.0582
CENPA	0.363	0.0227
CENPB	0.965	-0.0103
CENPBD1	0.229	-0.066
CENPBD1P1	0.99	-0.00354
CENPC	0.844	-0.00428
CENPE	0.635	0.0662
CENPF	0.386	0.0905
CENPH	0.99	-0.00061
CENPJ	0.906	-0.00521
CENPK	0.99	0.0065
CENPL	0.99	-0.00385
CENPM	0.913	-0.00461
CENPN	0.755	-0.0065
CENPO	0.99	-0.00446
CENPP	0.99	0.00083
CENPQ	0.99	-0.00795
CENPT	0.0926	0.0333
CENPU	0.79	-0.00627
CENPV	0.379	0.0207
CENPW	0.844	-0.044
CENPX	0.854	-0.0164
CEP104	0.99	-0.0248
CEP112	0.135	-0.0649
CEP120	0.99	-0.00267
CEP126	0.99	-0.00963
CEP128	0.895	0.0231
CEP131	0.332	0.0241
CEP135	0.929	-0.00895
CEP152	0.99	-0.00801
CEP162	0.513	-0.0117
CEP164	0.58	0.0197
CEP170	0.99	0.00374
CEP170B	0.0412	0.0512
CEP170P1	0.99	0.0106
CEP19	0.99	-0.0445
CEP192	0.637	-0.00962
CEP250	0.99	-0.0258
CEP290	0.0958	0.0161
CEP295	0.18	-0.00688
CEP350	0.99	0.0142
CEP41	0.802	-0.00906
CEP44	0.99	-0.0048
CEP55	0.99	-0.013
CEP57	0.99	0.00574
CEP57L1	0.99	-0.00857
CEP63	0.99	0.000788
CEP68	0.99	-0.0222
CEP70	0.856	-0.00436
CEP72	0.494	0.0312
CEP78	0.99	-0.00946
CEP83	0.758	-0.00604
CEP83-AS1	0.99	-0.00166
CEP85	0.99	-0.0023
CEP85L	0.67	-0.00809
CEP89	0.99	-0.00174
CEP95	0.99	-0.00386
CEP97	0.67	0.00963
CEPT1	0.99	-0.00342
CER1	0.228	-0.0727
CERCAM	0.159	0.0357
CERK	0.843	0.0336
CERKL	0.729	-0.119
CERS1	0.854	-0.0105
CERS2	0.99	-0.000911
CERS3	0.99	0.00405
CERS4	0.99	-0.00506
CERS5	0.99	-0.00119
CERS6	0.913	-0.00785
CERS6-AS1	0.99	-0.00662
CES1	0.99	-0.0338
CES1P1	0.99	-0.0259
CES2	0.843	-0.0226
CES3	0.696	0.0274
CES4A	0.322	0.0476
CES5A	0.985	0.0608
CES5AP1	0.99	-0.00707
CETN1	0.99	-0.0117
CETN3	0.955	-0.00558
CETN4P	0.99	-0.0108
CETP	0.925	-0.0208
CFAP100	0.934	0.0179
CFAP126	0.546	-0.0137
CFAP157	0.99	-0.0303
CFAP161	0.108	-0.0717
CFAP20	0.00144	-0.0599
CFAP206	0.415	-0.00938
CFAP221	0.225	-0.0162
CFAP36	0.27	-0.0807
CFAP43	0.99	-0.00419
CFAP44	0.99	-0.0251
CFAP45	0.708	0.0545
CFAP46	0.0735	-0.0536
CFAP52	0.362	-0.00673
CFAP53	0.762	0.029
CFAP58	0.99	-0.0149
CFAP61	0.99	-0.0249
CFAP65	0.0302	-0.0609
CFAP69	0.43	-0.00822
CFAP70	0.61	0.0076
CFAP73	0.135	0.0585
CFAP74	0.99	-0.00632
CFAP77	0.685	-0.0361
CFAP97	0.99	-0.0277
CFAP99	0.7	0.0306
CFB	0.99	-0.0113
CFC1	0.234	-0.0379
CFC1B	0.126	-0.0439
CFD	0.99	-0.0474
CFDP1	0.99	0.007
CFH	0.99	-0.0135
CFHR2	0.99	-0.0109
CFHR4	0.99	0.0129
CFHR5	0.99	0.0217
CFI	0.374	-0.167
CFL1	0.99	-0.00535
CFL1P1	0.99	-0.00257
CFL2	0.99	-0.0099
CFLAR	0.000211	0.102
CFTR	0.213	0.0391
CGA	0.99	-0.00724
CGB1	0.99	-0.0311
CGB2	0.897	-0.0348
CGB3	0.99	0.0197
CGB5	0.99	-0.0168
CGB7	0.99	-0.00935
CGB8	0.99	-0.0283
CGGBP1	0.99	-0.00171
CGN	0.99	-0.00172
CGNL1	0.729	-0.0079
CGREF1	0.378	-0.047
CGRRF1	0.99	-0.00212
CH25H	0.923	-0.0154
CHAC1	0.99	-0.0186
CHADL	0.99	-0.0202
CHAF1A	0.978	-0.00413
CHAF1B	0.894	0.0179
CHAMP1	0.721	-0.00783
CHAT	0.0369	-0.0777
CHCHD1	0.856	-0.00661
CHCHD10	0.99	-0.00729
CHCHD3	0.655	0.0353
CHCHD4	0.856	0.0103
CHCHD5	0.99	0.00539
CHCHD6	0.99	-0.00697
CHCHD7	0.99	-0.00383
CHD1	0.99	0.0116
CHD1L	0.784	-0.00731
CHD2	0.863	-0.00981
CHD3	0.99	-0.0634
CHD4	0.37	0.0275
CHD5	0.00592	-0.282
CHD6	0.99	-0.025
CHD7	0.546	0.171
CHD8	0.864	-0.0181
CHD9	0.933	-0.0073
CHDH	0.99	-0.00865
CHEK1	0.645	-0.0494
CHEK2	0.99	0.00247
CHEK2P2	0.0298	-0.0623
CHFR	0.99	-0.0021
CHGA	0.336	-0.0462
CHGB	0.99	-0.0215
CHI3L1	0.99	-0.0289
CHI3L2	0.99	-0.017
CHIA	0.99	-0.0265
CHIAP2	0.99	-0.0187
CHID1	0.843	0.014
CHIT1	0.000223	0.0929
CHKA	0.913	-0.00552
CHKB	0.99	-0.00533
CHKB-AS1	0.99	0.00304
CHKB-CPT1B	0.653	-0.00829
CHL1	0.553	-0.0485
CHMP1A	0.198	-0.0536
CHMP2A	0.648	-0.0421
CHMP2B	0.881	-0.00648
CHMP4A	0.556	0.00991
CHMP4B	0.99	-0.000554
CHMP4C	0.99	-0.00376
CHMP5	0.99	-0.00412
CHMP6	0.387	-0.0763
CHMP7	0.99	-0.00219
CHN1	0.894	-0.0718
CHN2	0.509	-0.0164
CHODL	0.99	-0.00973
CHODL-AS1	0.99	-0.027
CHORDC1	0.99	-0.00512
CHP1	0.518	-0.0846
CHP2	0.0478	0.102
CHPF	0.99	-0.00381
CHPF2	0.729	0.0174
CHPT1	0.786	0.00475
CHRAC1	0.717	-0.00761
CHRD	0.000704	0.0754
CHRDL2	0.493	-0.0278
CHRFAM7A	0.455	0.0456
CHRM1	0.406	-0.0461
CHRM2	0.531	-0.00785
CHRM3	0.948	-0.0081
CHRM4	0.382	-0.0273
CHRM5	0.99	-0.00287
CHRNA1	0.402	-0.0151
CHRNA10	0.99	-0.0102
CHRNA2	0.0497	-0.0885
CHRNA3	0.112	-0.0459
CHRNA4	0.0814	-0.0227
CHRNA5	0.829	-0.087
CHRNA6	0.99	-0.00711
CHRNA7	0.99	0.000769
CHRNA9	0.99	-0.00717
CHRNB1	0.982	-0.0114
CHRNB2	0.341	0.0305
CHRNB3	0.247	-0.0575
CHRNB4	0.419	0.0411
CHRND	0.0608	0.0714
CHRNE	0.322	-0.0945
CHRNG	0.625	0.0313
CHST1	0.706	-0.0467
CHST10	0.99	-0.015
CHST11	0.525	-0.00989
CHST12	0.443	-0.0687
CHST13	0.92	-0.0252
CHST14	0.97	-0.00813
CHST15	0.0347	0.0854
CHST2	0.382	0.0741
CHST4	0.99	-0.0172
CHST5	0.045	-0.0116
CHST6	0.749	-0.0286
CHST8	0.00964	0.0393
CHSY1	0.709	-0.0241
CHSY3	0.0605	0.0499
CHTF18	0.99	0.00662
CHTF8	0.99	-0.000504
CHTOP	0.99	-0.000695
CHUK	0.99	-0.00335
CHURC1-FNTB	0.755	-0.00941
CIAO1	0.968	-0.0055
CIAPIN1	0.946	-0.00639
CIART	0.297	-0.0137
CIB1	0.00971	0.0327
CIB2	0.99	-0.0068
CIB3	0.99	-0.0243
CIB4	0.825	-0.0292
CIC	0.99	0.00231
CIDEA	0.837	0.0343
CIDEB	0.99	0.0253
CIDEC	0.259	0.0594
CIDECP	0.99	0.00101
CIITA	0.389	-0.0543
CILP	0.99	-0.0729
CILP2	0.423	-0.0478
CINP	0.99	-0.0018
CIPC	0.99	-0.0074
CIR1	0.306	-0.0577
CIRBP	0.99	0.0256
CIRBP-AS1	0.99	-0.0151
CISD1	0.863	0.00678
CISD2	0.99	0.00319
CISD3	0.929	-0.00539
CISH	0.28	-0.0891
CIT	0.785	-0.013
CITED2	0.605	-0.00529
CITED4	0.99	-0.0287
CIZ1	0.569	-0.0279
CKAP2	0.0889	-0.00808
CKAP2L	0.733	-0.0233
CKAP4	0.99	-0.0186
CKAP5	0.99	-0.00563
CKB	0.99	-0.0042
CKLF-CMTM1	0.352	-0.0129
CKM	0.736	-0.0402
CKMT1A	0.657	-0.0515
CKMT1B	0.914	-0.0345
CKS1B	0.99	0.00129
CKS2	0.99	-0.00363
CLASP1	0.99	-0.0505
CLASP2	0.395	-0.0145
CLASRP	0.99	-0.00705
CLC	0.99	-0.00791
CLCA1	0.99	-0.00865
CLCA2	0.99	0.00768
CLCA3P	0.99	0.0107
CLCA4	0.99	-0.00778
CLCC1	0.953	-0.0278
CLCN1	0.99	-0.0105
CLCN2	0.99	-0.0167
CLCN3	0.99	-0.00123
CLCN6	0.99	-0.00649
CLCN7	0.0197	-0.072
CLCNKA	0.228	0.058
CLCNKB	0.021	0.0452
CLDN1	0.99	-0.0233
CLDN10	0.99	0.00871
CLDN11	0.531	0.0632
CLDN12	0.99	0.00514
CLDN14	0.347	-0.0583
CLDN15	0.0792	0.0995
CLDN16	0.99	-0.0111
CLDN17	0.99	-0.0212
CLDN18	0.99	-0.0136
CLDN19	0.99	-0.00872
CLDN23	0.0116	0.0612
CLDN24	0.99	-0.0477
CLDN25	0.99	-0.031
CLDN3	0.726	0.00986
CLDN4	0.51	-0.068
CLDN5	0.0575	0.0722
CLDN6	0.272	-0.0811
CLDN7	0.99	-0.00525
CLDN8	0.99	-0.00864
CLDN9	0.99	-0.00803
CLDND1	0.99	-0.00314
CLDND2	0.99	-0.00357
CLEC10A	0.99	-0.0157
CLEC11A	0.984	-0.0409
CLEC12A	0.99	0.00491
CLEC12B	0.99	-0.00907
CLEC14A	0.00126	0.0814
CLEC16A	0.144	-0.126
CLEC17A	0.99	-0.00281
CLEC18B	0.99	-0.0225
CLEC18C	0.95	-0.0211
CLEC19A	0.99	-0.0174
CLEC1A	0.99	-0.0137
CLEC1B	0.992	0.00339
CLEC2A	0.99	-0.0204
CLEC2B	0.99	-0.0132
CLEC2D	0.99	0.0343
CLEC2L	0.99	-0.00662
CLEC3A	0.99	-0.00336
CLEC3B	0.507	-0.0104
CLEC4A	0.99	-0.0124
CLEC4C	0.99	-0.00792
CLEC4D	0.99	-0.005
CLEC4E	0.99	0.0056
CLEC4F	0.63	0.0389
CLEC4G	0.804	-0.00684
CLEC4GP1	0.0214	-0.0296
CLEC4M	0.99	-0.0152
CLEC5A	0.99	-0.00738
CLEC6A	0.634	0.0472
CLEC7A	0.99	-0.0074
CLEC9A	0.99	-0.0303
CLECL1	0.99	-0.0193
CLGN	0.889	-0.00696
CLHC1	0.593	-0.00912
CLIC1	0.99	-0.0122
CLIC3	0.889	0.0246
CLIC4	0.99	0.000923
CLIC5	0.24	-0.0431
CLIC6	0.302	0.0355
CLINT1	0.762	-0.0057
CLIP1	0.45	-0.0118
CLIP2	0.00346	-0.19
CLIP3	0.247	-0.00703
CLIP4	0.00244	-0.0598
CLK1	0.948	0.0127
CLK2	0.757	-0.0081
CLK2P1	0.99	-0.0141
CLK3	0.99	0.00129
CLK4	0.953	-0.0271
CLLU1	0.99	-0.0202
CLLU1OS	0.99	0.0437
CLMN	0.272	0.0317
CLMP	0.136	-0.082
CLN3	0.99	-0.00154
CLN5	0.99	-0.00839
CLN6	0.711	-0.0187
CLN8	0.67	-0.00829
CLNK	0.891	0.00903
CLNS1A	0.639	-0.0298
CLOCK	0.99	-0.0196
CLP1	0.983	-0.00481
CLPB	0.99	-0.00207
CLPP	0.99	-0.0206
CLPS	0.99	-0.0279
CLPSL1	0.99	-0.0125
CLPSL2	0.699	0.0104
CLPTM1	0.45	-0.0111
CLPTM1L	0.367	-0.0436
CLPX	0.99	-0.000788
CLRN1-AS1	0.99	-0.0255
CLRN2	0.99	-0.0136
CLRN3	0.99	-0.0136
CLSPN	0.816	0.00877
CLSTN1	0.189	-0.0174
CLSTN2	0.577	0.0639
CLSTN3	0.245	-0.0186
CLTA	0.99	-0.0139
CLTB	0.99	-0.00284
CLTC	0.653	0.0101
CLTCL1	0.811	-0.0563
CLU	0.0632	-0.126
CLUAP1	0.0426	-0.043
CLUH	0.648	-0.0381
CLUHP3	0.99	-0.027
CLUL1	0.99	0.00592
CLVS1	0.99	-0.00743
CLVS2	0.99	-0.00794
CLYBL	0.116	-0.0228
CMA1	0.99	-0.0177
CMAHP	0.369	-0.0662
CMAS	0.15	-0.0248
CMBL	0.99	-0.0711
CMC1	0.894	-0.00467
CMC2	0.83	-0.0147
CMIP	0.982	-0.0496
CMKLR1	0.99	-0.00888
CMPK1	0.64	0.0112
CMPK2	0.211	-0.0211
CMSS1	0.99	-0.0321
CMTM2	0.000167	-0.0712
CMTM3	0.99	0.00242
CMTM4	0.538	0.0359
CMTM5	0.274	0.0658
CMTM6	0.99	-0.00281
CMTM7	0.0093	-0.0643
CMTM8	0.99	0.00858
CMTR1	0.99	-0.00667
CMTR2	0.99	-0.0133
CMYA5	0.263	0.0667
CNBD1	0.99	-0.0217
CNBD2	0.99	-0.0207
CNBP	0.99	-0.0022
CNDP1	0.99	-0.00728
CNDP2	0.961	-0.00524
CNEP1R1	0.323	-0.00791
CNFN	0.99	-0.00223
CNGA1	0.99	-0.0134
CNGA3	0.891	-0.0565
CNGA4	0.99	-0.00699
CNGB1	0.72	-0.0398
CNGB3	0.99	-0.00776
CNIH1	0.99	-0.0539
CNIH2	0.782	-0.00503
CNIH3	0.67	-0.0213
CNIH4	0.771	-0.0134
CNKSR1	0.99	0.0177
CNKSR3	0.99	-0.00179
