Gene	Chim2012.logFC	Chim2012.padj
FAM206A	-0.29582005	0.1148538
FAM207A	0.26208925	0.1657275
FAM208A	-0.28638873	0.0668946
FAM208B	1.06309062	0.0056692
FAM209B	-0.07670927	0.6884509
FAM20A	0.29062323	0.235041
FAM20B	-0.37639465	0.2384456
FAM20C	-0.20610656	0.3497476
FAM210A	0.19460578	0.3345264
FAM210B	1.42373304	0.0001391
FAM212A	-0.29300032	0.1317417
FAM212B-AS1	-0.02385664	0.9347015
FAM213A	1.56234341	0.0030443
FAM213B	0.37763958	0.5388381
FAM214A	-0.27131577	0.1670331
FAM214B	-0.20216522	0.3158849
FAM215A	0.01844988	0.9557644
FAM216A	-0.07543597	0.7133168
FAM216B	-0.15627856	0.3575488
FAM217A	-0.42608208	0.0748084
FAM217B	0.15874138	0.7580271
FAM218A	0.08126139	0.6957219
FAM219A	0.53309249	0.016368
FAM219B	-0.13837194	0.5363668
FAM220A	-0.01236296	0.9714838
FAM221A	0.00224996	0.9941783
FAM221B	0.01256967	0.9645149
FAM222A	0.03959284	0.8633218
FAM222A-AS1	-0.00465226	0.9860131
FAM222B	0.60851507	0.0012766
FAM223B	0.11169434	0.4943241
FAM224A	0.27864122	0.0959913
FAM227B	0.1057538	0.579498
FAM228A	-0.05096817	0.7756831
FAM228B	0.29030008	0.1076251
FAM229A	0.36546898	0.2573883
FAM229B	0.1438849	0.6983286
FAM230B	0.10044656	0.6947501
FAM230C	0.15257187	0.2431735
FAM234A	-0.0179864	0.9543147
FAM234B	-0.1426157	0.3609596
FAM24A	0.01420507	0.947393
FAM24B	0.12061238	0.5886511
FAM26D	-0.35767751	0.5653262
FAM26E	0.09126887	0.8334139
FAM26F	-0.38623337	0.4660552
FAM30A	-0.06815076	0.7181884
FAM32A	0.19297991	0.3341375
FAM35A	0.18402519	0.6215416
FAM3A	0.08842049	0.6326739
FAM3B	-0.81558362	0.0228657
FAM3C	0.64833698	0.0468805
FAM3D	-0.08790092	0.8173031
FAM43A	0.25783854	0.6070428
FAM43B	-0.25040746	0.5198241
FAM45A	0.00678139	0.9781535
FAM46A	0.86666851	0.0080037
FAM46B	-1.00484609	0.0287489
FAM46C	-0.15525461	0.5646752
FAM46D	-0.08134261	0.7136149
FAM47A	-0.10122056	0.5363271
FAM47B	0.0705688	0.6582527
FAM47C	-0.15522456	0.334027
FAM47E	0.03272796	0.8931045
FAM49A	-0.5376358	0.112358
FAM49B	0.2971693	0.3109649
FAM50A	0.55537653	0.0086938
FAM50B	0.2902205	0.3739343
FAM53A	-0.15691089	0.5246557
FAM53B	0.45492239	0.149967
FAM53B-AS1	-0.08602392	0.5980266
FAM53C	0.01029586	0.9820932
FAM57A	-0.07578344	0.7543708
FAM57B	-0.25769215	0.3514653
FAM58A	0.45181837	0.0739623
FAM60A	-1.39819002	0.0060629
FAM63A	0.86159935	0.0010517
FAM63B	1.38056431	0.0004081
FAM64A	-0.13875942	0.5756445
FAM65A	-0.10320816	0.6633439
FAM65B	-0.45633039	0.3943778
FAM65C	-0.25464873	0.2916401
FAM66D	-0.03491411	0.9012559
FAM69A	-0.22080789	0.3034498
FAM69B	0.57921601	0.1918446
FAM69C	0.29312682	0.3959834
FAM71A	0.19515018	0.2541542
FAM71B	-0.20634832	0.3614938
FAM71C	-0.17755074	0.2210734
FAM71D	0.06606865	0.8261753
FAM71E1	-0.29163785	0.3390702
FAM71E2	0.25833192	0.2024626
FAM71F1	0.2363079	0.1103425
FAM71F2	0.02816195	0.9308486
FAM76A	0.15425487	0.348169
FAM76B	-0.65525093	0.0214148
FAM78B	0.29296298	0.168207
FAM81A	-0.24042296	0.1918503
FAM81B	-0.02384925	0.9059959
FAM83A	-0.29193225	0.2159989
FAM83B	-0.28758602	0.1201463
FAM83C	0.05735755	0.8093471
FAM83C-AS1	-0.21827197	0.4536844
FAM83D	-0.32223859	0.3939736
FAM83E	-0.10046859	0.6876375
FAM83F	-0.07348895	0.7869666
FAM83G	-0.00953684	0.9750061
FAM83H	0.55874529	0.1232498
FAM84A	-0.2365942	0.276227
FAM84B	0.54825888	0.1187196
FAM86B3P	0.13743052	0.6375826
FAM86C1	0.13224673	0.6054579
FAM89B	0.10221186	0.6493148
FAM8A1	0.00516167	0.9879876
FAM90A1	0.08846464	0.5944074
FAM91A1	0.1574872	0.4962672
FAM92A1	-0.37798357	0.2732751
FAM95A	-0.06892257	0.8078755
FAM96A	-0.12972889	0.4193587
FAM96B	-0.28098621	0.2401411
FAM98A	-0.79672633	0.0142983
FAM98B	0.27741766	0.3059876
FAM98C	0.24581566	0.3385139
FAM99B	-0.06910277	0.8056367
FAM9A	0.00588965	0.9769223
FAM9B	-0.25215988	0.1150078
FAM9C	-0.11052818	0.594081
FAN1	0.91880265	0.0077926
FANCA	0.88519678	0.006648
FANCB	-0.22585597	0.2148172
FANCC	0.13378701	0.5075004
FANCD2	0.39607773	0.153924
FANCD2OS	-0.05498133	0.8137627
FANCE	0.07809267	0.8441363
FANCF	-0.30072303	0.2868716
FANCG	0.02978115	0.923257
FANCI	-0.43885999	0.067904
FANCL	0.37206392	0.0739073
FANCM	0.31906705	0.1452355
FANK1	-0.21224819	0.2492454
FAP	-0.24916439	0.7009954
FAR1	-0.0605773	0.8119785
FAR2	-1.08710024	0.1772941
FARP1	0.35441809	0.1318112
FARP2	0.63087434	0.0077964
FARS2	0.20178518	0.5154975
FARSA	0.2202385	0.2965297
FARSB	-0.71564646	0.0237452
FAS	-0.61004081	0.130652
FAS-AS1	0.02051911	0.9488048
FASLG	-0.21277776	0.3979339
FASN	-0.04668068	0.8851102
FASTK	0.30152378	0.1209489
FASTKD1	0.09997292	0.8375703
FASTKD2	0.31631731	0.2413447
FASTKD3	0.18088188	0.4217595
FASTKD5	0.08500557	0.7257931
FAT1	0.25651446	0.618715
FAT2	0.0054245	0.9904122
FAT3	-0.28745088	0.1076851
FAT4	-0.48273316	0.2651894
FATE1	0.0482657	0.8847711
FAU	-0.36800327	0.0337043
FAXC	-0.10766029	0.5099097
FAXDC2	0.2318675	0.1537157
FBF1	-0.10858312	0.6806042
FBL	0.36522035	0.1902239
FBLIM1	0.78794069	0.0038412
FBLL1	0.21074791	0.4925228
FBLN1	-0.79333151	0.1233814
FBLN2	-0.30694522	0.5767111
FBLN5	-0.99672593	0.0709436
FBLN7	0.55913858	0.024366
FBN1	-1.60416231	0.0009229
FBN2	1.23776283	0.0056666
FBN3	-0.19427385	0.2216815
FBP1	0.00330524	0.9903664
FBP2	0.04962683	0.8022622
FBRS	0.30917473	0.0484979
FBRSL1	0.72542086	0.0053687
FBXL12	0.11427183	0.6895934
FBXL13	-0.14248014	0.2609497
FBXL14	0.61238336	0.0447156
FBXL15	0.2758133	0.2836158
FBXL16	-0.22193069	0.194805
FBXL17	-0.23818555	0.3640697
FBXL18	0.57598915	0.0940811
FBXL19	-0.40280695	0.2136282
FBXL19-AS1	0.00695314	0.9819685
FBXL2	0.28378515	0.4406184
FBXL20	1.70543681	0.0015627
FBXL21	-0.17903252	0.276211
FBXL22	-0.23555718	0.234535
FBXL3	-0.19636293	0.4940737
FBXL4	-0.37088864	0.146685
FBXL5	-0.22058906	0.4256074
FBXL6	-0.03746967	0.8871983
FBXL7	0.23287039	0.2288294
FBXL8	0.00048995	0.9989321
FBXO10	0.13190837	0.3810865
FBXO11	0.1872922	0.3325929
FBXO15	-0.13090611	0.4269225
FBXO16	-0.02700343	0.9118935
FBXO17	0.30744	0.0415219
FBXO18	-0.06758356	0.7179879
FBXO2	0.0506423	0.7520937
FBXO21	0.24009633	0.1647274
FBXO22	0.68174081	0.0135269
FBXO24	0.10180044	0.6436337
FBXO25	0.49102477	0.0726081
FBXO27	-0.15265674	0.5033449
FBXO28	-0.36717844	0.1039072
FBXO3	-0.25819454	0.0960243
FBXO30	-0.20770626	0.4136621
FBXO31	0.0905982	0.717404
FBXO32	-0.94635783	0.0095951
FBXO33	0.89827041	0.0013183
FBXO34	-0.19632368	0.5336791
FBXO36	-0.14046626	0.6072667
FBXO38	-0.80823035	0.0026848
FBXO39	0.20245719	0.2674734
FBXO4	-0.23030166	0.1535929
FBXO40	-0.11032181	0.4860053
FBXO42	0.39456749	0.0150661
FBXO43	-0.04254394	0.8403229
FBXO44	0.28291568	0.3059372
FBXO45	-1.03782625	0.0166144
FBXO46	-0.07751303	0.8014715
FBXO5	-0.33241424	0.2934386
FBXO6	-0.04920697	0.9035673
FBXO7	0.6137095	0.020289
FBXO8	-0.50117626	0.0109207
FBXO9	0.56132927	0.0017559
FBXW11	0.22351237	0.48594
FBXW12	0.86829501	0.0004321
FBXW2	0.27777338	0.1762066
FBXW4	0.48394976	0.022538
FBXW4P1	0.37994452	0.1095124
FBXW5	0.16571379	0.3907634
FBXW7	0.54891605	0.1241
FBXW8	0.18757748	0.3162063
FBXW9	0.27915192	0.2644374
FCAMR	-0.04005985	0.8570296
FCAR	-0.23372059	0.1300453
FCER1A	-0.1403666	0.4158006
FCER1G	-0.16998311	0.858585
FCER2	0.20678563	0.2205127
FCF1	0.42655892	0.0132282
FCGBP	-0.23893482	0.7524619
FCGR1A	-0.03052626	0.90874
FCGR1B	0.27218246	0.6906686
FCGR2A	-0.15126663	0.4191359
FCGR2B	0.27057723	0.6807826
FCGR2C	-0.15801297	0.7222742
FCGR3B	0.23963051	0.5154975
FCGRT	0.15731002	0.6887343
FCHO1	0.27347007	0.1915446
FCHO2	-0.33615069	0.0257121
FCHSD1	0.10023165	0.5054408
FCHSD2	-0.15076246	0.4285753
FCMR	-0.07287164	0.6503766
FCN1	-0.10853629	0.4993636
FCN2	-0.2279233	0.2924219
FCN3	-0.17918005	0.774928
FCRL1	0.07658491	0.7328982
FCRL2	-0.10901403	0.5363571
FCRL3	0.18922601	0.1772119
FCRL4	-0.10872312	0.4930719
FCRL5	-0.19687519	0.1939988
FCRLA	-0.09666572	0.6027975
FCRLB	-0.13348417	0.6251299
FDCSP	-0.16831159	0.22949
FDFT1	1.09547739	0.0019369
FDPS	0.06380224	0.8520434
FDPSP2	0.02405596	0.9583747
FDX1	0.4171362	0.3190456
FDX1L	0.14315739	0.4346498
FDXACB1	0.0717227	0.7421021
FDXR	0.13205371	0.6977585
FECH	0.37875151	0.1229949
FEM1A	0.21538315	0.5007948
FEM1B	-0.30565901	0.2048734
FEM1C	-0.20776023	0.3092861
FEN1	0.16229219	0.4525502
FENDRR	0.27115421	0.4079916
FER	-0.42930861	0.0131563
FER1L4	-0.2061512	0.5022549
FER1L5	0.08947625	0.7850688
FER1L6-AS1	-0.00612741	0.9822833
FERD3L	0.233884	0.3386655
FERMT1	-0.28853846	0.2719158
FERMT2	-1.63734797	0.000224
FERMT3	0.09670811	0.7867467
FES	0.59479713	0.0421281
FETUB	-0.08384767	0.6164822
FEV	-0.18381515	0.3761453
FEZ1	0.54208355	0.1394294
FEZ2	-0.48376904	0.0891812
FEZF2	-0.08446106	0.5715736
FFAR1	0.15861011	0.5110716
FFAR2	-0.07021556	0.7503849
FFAR4	-0.12857165	0.5767782
FGA	-0.11234283	0.6388237
FGB	-0.17213049	0.2834996
FGD1	-0.06761389	0.8318668
FGD2	0.67564482	0.0159255
FGD3	0.27455463	0.4797521
FGD4	0.80839405	0.0065655
FGD5	0.2807189	0.280095
FGD5-AS1	0.35233422	0.0216414
FGD6	0.6625134	0.0430559
FGF1	-0.12400823	0.5215929
FGF10	-0.21657	0.384321
FGF10-AS1	-0.12597108	0.5667838
FGF11	-0.13355069	0.6034757
FGF12	0.31370359	0.1565037
FGF13	0.56258221	0.275245
FGF13-AS1	-0.01958771	0.945065
FGF14	0.09912949	0.5583283
FGF14-AS2	-0.19623146	0.1754046
FGF14-IT1	-0.0571743	0.8039605
FGF16	-0.03251304	0.9052718
FGF17	0.09795322	0.7143855
FGF18	0.24620757	0.091941
FGF19	0.05377889	0.7544554
FGF2	-0.30596871	0.1875619
FGF20	0.1088345	0.4950144
FGF21	0.00790138	0.9796665
FGF22	0.11345577	0.6249613
FGF23	-0.24114971	0.1091859
FGF3	-0.02789245	0.9342113
FGF4	-0.13700938	0.4951696
FGF5	-0.07293649	0.6483727
FGF6	-0.08208618	0.6709227
FGF7	-0.17392473	0.1568539
FGF7P3	0.20164981	0.4806375
FGF8	0.07780113	0.7841706
FGF9	0.24028935	0.4575626
FGFBP1	-0.32775512	0.4101819
FGFBP2	0.1581059	0.4061927
FGFBP3	-0.01419287	0.9680917
FGFR1	0.81490126	0.0010752
FGFR1OP	0.1384952	0.5784494
FGFR1OP2	-0.67465248	0.0216338
FGFR2	-0.15625343	0.4391954
FGFR3	0.39626551	0.2465763
FGFR4	0.21575213	0.3991917
FGFRL1	-0.0659997	0.6665066
FGG	-0.22586723	0.7814973
FGGY	-0.00548024	0.9806167
FGL1	-0.44537592	0.0239467
FGL2	-0.13793889	0.872791
FGR	0.06514998	0.8258174
FH	0.23863764	0.1224728
FHAD1	-0.24559584	0.1391606
FHDC1	-0.04828834	0.9216014
FHIT	0.09968905	0.7509179
FHL1	-1.04244633	0.1243882
FHL2	0.18993531	0.5709194
FHL3	-0.25148506	0.2214509
FHL5	0.05242105	0.8376346
FHOD1	0.26042232	0.5791452
FHOD3	0.10903673	0.7931728
FIBCD1	-0.05657301	0.7592366
FIBIN	0.59977829	0.5276325
FIBP	0.17129927	0.5992793
FICD	-0.54771833	0.2247714
FIG4	0.20101938	0.2157362
FIGLA	0.00606384	0.9767483
FIGN	0.87552739	0.109045
FIGNL1	0.61996021	0.1499776
FILIP1	0.2210783	0.2003882
FILIP1L	0.84015733	0.1490114
FIP1L1	0.24316874	0.1339801
FIRRE	-0.1877481	0.3774784
FIS1	0.04911881	0.890239
FITM1	0.11395903	0.6541347
FITM2	0.12963524	0.6273986
FIZ1	-0.30623532	0.3008815
FJX1	0.14403176	0.5160307
FKBP10	-0.24883347	0.501013
FKBP11	-0.1887333	0.4766627
FKBP14	0.33770862	0.3948555
FKBP15	-0.26873446	0.140045
FKBP1B	0.10324045	0.856009
FKBP2	-0.13292455	0.7738548
FKBP3	0.20737057	0.4088459
FKBP4	0.16422434	0.3331119
FKBP5	-1.17677445	0.1255679
FKBP6	-0.12934942	0.5795736
FKBP7	-0.1948668	0.2620944
FKBP8	-0.184029	0.3995855
FKBP9	0.26147823	0.5058943
FKBPL	0.23032965	0.6029708
FKRP	-0.09437876	0.7644761
FKSG29	-0.1058064	0.5568087
FKSG49	-0.547921	0.019695
FKTN	0.27225093	0.4038835
FLAD1	0.49194183	0.0286378
FLCN	1.50077313	0.0001249
FLG	-0.16082802	0.2474482
FLG-AS1	-0.04812532	0.7644317
FLG2	-0.12756023	0.4296432
FLI1	-0.8083439	0.0191872
FLII	0.17965011	0.5072572
FLJ10038	0.1585391	0.3356549
FLJ11710	-0.30308199	0.0664773
FLJ12120	0.11748791	0.5421942
FLJ12825	-0.12075205	0.6101671
FLJ13224	-0.16668339	0.2711004
FLJ13773	0.24057121	0.2756087
FLJ16734	-0.39719863	0.0126817
FLJ16779	-0.05410905	0.8221253
FLJ20021	0.10646467	0.7805017
FLJ20712	-0.21623459	0.1783442
FLJ21369	0.67017937	0.004479
FLJ21408	-0.15520177	0.4870932
FLJ22763	0.01730194	0.9344329
FLJ25758	-0.00900864	0.9723569
FLJ26850	-0.08176899	0.688807
FLJ27354	0.01581364	0.9571075
FLJ30064	0.0717113	0.7598773
FLJ30679	0.14056139	0.4464447
FLJ31104	-0.06614895	0.7597968
FLJ31356	-0.09320278	0.5345206
FLJ31713	0.05896425	0.767169
FLJ31945	-0.04632793	0.8689323
FLJ32154	-0.12361722	0.4728075
FLJ32255	0.41592927	0.1785088
FLJ33360	0.08002577	0.6824725
FLJ33534	-0.07587104	0.7650235
FLJ34503	0.12787076	0.7486601
FLJ35700	0.21831196	0.8899732
FLJ35816	-0.01246376	0.9535192
FLJ35934	-0.43822856	0.0193745
FLJ36840	-0.12506471	0.5927114
FLJ37035	0.14764795	0.4092072
FLJ37201	0.08167653	0.6769001
FLJ37453	0.26901302	0.3443821
FLJ37786	-0.06320186	0.70852
FLJ38576	-0.05178881	0.7979985
FLJ38773	0.0298347	0.884738
FLJ40288	0.25807285	0.348762
FLJ41170	0.88419309	0.0030762
FLJ41455	0.03205018	0.8854536
FLJ42627	0.8081911	0.000946
FLJ45482	1.02616101	0.0519341
FLJ45513	0.20688448	0.6150396
FLJ46875	-0.00841126	0.9871117
FLJ90680	-0.24956284	0.6093106
FLNA	-0.11730986	0.7947473
FLNB	-0.68083944	0.0413638
FLNC	-0.37249908	0.2583819
FLOT1	-0.53507519	0.0182768
FLOT2	0.08513813	0.8450212
FLRT1	-0.13805633	0.5877153
FLRT3	-0.37630964	0.4246763
FLT1	-1.87719549	0.000612
FLT3	-0.22160273	0.4162894
FLT3LG	0.23227487	0.1547539
FLT4	1.38517103	0.1957187
FLVCR1	0.83511419	0.0053061
FLVCR1-AS1	0.13149667	0.5646752
FLVCR2	0.4306407	0.0374307
FLYWCH1	0.18947935	0.3924756
FLYWCH2	0.32073717	0.1059486
FMC1	0.4658865	0.0317749
FMN1	-0.43321552	0.2681086
FMN2	0.06887302	0.6432259
FMNL1	0.39202347	0.1470197
FMNL2	-0.86313987	0.0256491
FMNL3	0.15473342	0.4724564
FMO1	0.39228735	0.2565722
FMO2	-0.20803518	0.3931086
FMO3	-0.1143857	0.5296986
FMO4	-0.23925066	0.1801753
FMO5	-0.20929546	0.3123289
FMO6P	0.01073418	0.9627548
FMO9P	-0.01398711	0.9544375
FMOD	-0.02938499	0.9432756
FMR1	0.27100106	0.2211628
FMR1NB	0.0027266	0.9919459
FN1	-1.49089697	0.0304885
FN3K	-0.04134097	0.8847711
FN3KRP	-0.11508112	0.6678864
FNBP1	1.00390807	0.0013189
FNBP1L	0.18588058	0.7820366
FNBP4	0.49668731	0.0086665
FNDC1	0.04078679	0.9010352
FNDC10	-0.15852261	0.5520618
FNDC11	0.15270934	0.3927127
FNDC3A	-1.51720991	0.0026248
FNDC3B	0.14442816	0.3660691
FNDC4	-0.02651062	0.9536106
FNDC5	-0.10953298	0.6253954
FNDC7	0.07658586	0.7775816
FNDC8	-0.13435073	0.4997005
FNDC9	-0.20519128	0.4406869
FNIP1	-1.91620903	0.0001257
FNIP2	0.4414135	0.1514405
FNTA	-0.86504507	0.0009289
FNTB	1.1934693	0.0126159
FOCAD	0.48340255	0.10466
FOLH1	-0.14471794	0.6369236
FOLH1B	-0.01564407	0.9633682
FOLR1	-1.26736661	0.0002264
FOLR2	0.16461482	0.4686627
FOLR3	-0.08517156	0.69709
FOPNL	-0.83904367	0.002113
FOS	-0.99349321	0.2886345
FOSB	0.11480742	0.9170538
FOSL1	-0.11861281	0.6684191
FOSL2	-0.87264139	0.0440852
FOXA1	-0.14861154	0.2964703
FOXA2	-0.1653965	0.2060227
FOXA3	-0.16782374	0.4168714
FOXB1	-0.13944058	0.4390214
FOXC1	0.3030098	0.2048734
FOXC2	-0.23598705	0.3720008
FOXCUT	-0.13279295	0.484061
FOXD1	0.0230794	0.9384612
FOXD2	0.01975479	0.9280661
FOXD2-AS1	-0.06292162	0.7627873
FOXD3	-0.05105734	0.8565921
FOXD3-AS1	0.02118373	0.9324432
FOXD4	-0.1524437	0.4533233
FOXE1	-0.03322549	0.8826754
FOXE3	-0.01376562	0.9579535
FOXF1	0.16524505	0.8044206
FOXF2	-0.05818052	0.8912798
FOXG1	-0.06358623	0.7808765
FOXH1	0.14760308	0.4155227
FOXI1	0.12017412	0.5463635
FOXJ1	-0.15106268	0.5265522
FOXJ2	0.12778959	0.5747322
FOXJ3	0.37586917	0.0538839
FOXK1	0.08083744	0.6347687
FOXK2	0.46957102	0.1079123
FOXL1	0.14770346	0.3127544
FOXL2	-0.1660717	0.498697
FOXM1	0.0917831	0.8594241
FOXN1	0.04858861	0.897969
FOXN2	-0.37825413	0.1082479
FOXN3	-0.52289381	0.0056674
FOXN3-AS1	-0.0797028	0.7972304
FOXN3-AS2	-0.14688931	0.4484961
FOXN4	-0.12625723	0.5153393
FOXO1	0.61238652	0.2379658
FOXO3	0.52956152	0.0226419
FOXO4	-0.40037441	0.0380867
FOXO6	0.47445392	0.0721241
FOXP1	0.55420255	0.033099
FOXP1-AS1	-0.01799941	0.9384612
FOXP1-IT1	0.58455067	0.04499
FOXP2	0.62729959	0.0341491
FOXP3	0.05830565	0.76788
FOXP4	-0.03448591	0.8970078
FOXP4-AS1	0.01992087	0.921475
FOXQ1	0.07242966	0.8879525
FOXR1	-0.0141984	0.9670262
FOXR2	-0.11146713	0.4741585
FOXRED1	0.06114397	0.8419192
FOXRED2	-0.11255675	0.6591199
FOXS1	-0.27930532	0.3412398
FPGS	-0.04911528	0.8302568
FPGT	-0.28921847	0.2831895
FPR1	0.03845281	0.9477053
FPR2	-0.22839403	0.2688842
FPR3	-0.1985559	0.2740873
FRA10AC1	0.34206085	0.1862937
FRAS1	-0.16553683	0.2480479
FRAT1	0.24079836	0.369233
FRAT2	0.32065449	0.1190607
FREM1	-0.16205998	0.3626514
FREM2	0.16422472	0.5321594
FREM3	0.02111587	0.9170636
FRG1BP	0.60542202	0.1161045
FRG1EP	-0.20493699	0.1737092
FRG1HP	0.03979769	0.9320884
FRG1JP	-0.15060901	0.5157441
FRG2EP	0.19366918	0.2943537
FRK	0.09358334	0.6671198
FRMD1	-0.06526423	0.7898349
FRMD3	1.46372136	0.0015783
FRMD4A	1.12237863	0.0052448
FRMD4B	-0.21123037	0.1911547
FRMD5	-0.11961117	0.4428781
FRMD6	0.18256254	0.4420632
FRMD6-AS1	0.31340513	0.1804118
FRMD7	-0.05855594	0.8680483
FRMD8	-0.09745455	0.5607769
FRMD8P1	0.10380621	0.6592106
FRMPD1	0.12369003	0.5709194
FRMPD3	0.04960542	0.8061382
FRMPD4	-0.4430087	0.0727656
FRRS1	-0.02750373	0.8823762
FRRS1L	-0.12723341	0.3999363
FRS2	-0.70045581	0.055367
FRS3	0.20405636	0.3081724
FRY	0.47113547	0.1909722
FRY-AS1	0.01300049	0.9534968
FRYL	0.71823379	0.0175964
FRZB	1.89014245	0.0004878
FSCB	-0.1447124	0.2895317
FSCN1	0.53325844	0.1772276
FSCN2	0.07650871	0.7126406
FSCN3	0.04751673	0.8097929
FSD1	0.27159996	0.2743158
FSD1L	0.19129777	0.3761123
FSD2	-0.0702157	0.8088179
FSHB	-0.08273134	0.7530231
FSHR	-0.01685147	0.9431196
FSIP1	-0.16579299	0.3302599
FSIP2	-0.04927817	0.8453447
FST	-0.97646704	0.1922223
FSTL1	0.35310936	0.4957968
FSTL3	-0.15110921	0.8638481
FSTL4	-0.15572028	0.4992245
FSTL5	-0.07416949	0.7732994
FTCD	0.28207607	0.2535923
FTCDNL1	-0.18523478	0.3522084
FTH1	-0.51792144	0.3036565
FTH1P5	-0.18519326	0.7008384
FTHL17	-0.03222151	0.8640015
FTL	-0.24627437	0.3647153
FTO	0.46162014	0.0367749
FTSJ1	-0.72360191	0.021658
FTSJ3	0.07741518	0.774448
FTX	0.72297307	0.0055099
FUBP1	-0.25557251	0.1708367
FUBP3	1.33560439	0.0024271
FUCA1	0.17189541	0.5416615
FUCA2	0.27099209	0.1364142
FUK	0.25045633	0.5525955
FUNDC1	0.17077189	0.5662703
FUNDC2	0.03293648	0.9257341
FUOM	0.21199494	0.1957041
FURIN	0.26092434	0.2718477
FUS	-1.56628866	0.0001982
FUT1	-0.11236754	0.7180211
FUT10	-0.24197411	0.1835995
FUT11	0.244139	0.3916092
FUT2	-0.0887806	0.5732313
FUT3	-0.16189323	0.4980011
FUT4	0.11078363	0.6684279
FUT5	0.37603397	0.0290718
FUT6	-0.38510304	0.0292694
FUT7	-0.18680868	0.2717536
FUT8	-0.95814248	0.0292694
FUT8-AS1	0.28994637	0.0351692
FUT9	-0.59282016	0.0747648
FUZ	-0.37447309	0.1437819
FXN	0.24389997	0.2052421
FXR1	-1.45055981	0.0009289
FXR2	0.14191837	0.5859062
FXYD1	0.04514541	0.9124689
FXYD2	-0.28894129	0.1323608
FXYD3	-0.11887942	0.7994225
FXYD4	0.00834379	0.9750378
FXYD5	-0.1244812	0.8523791
FXYD6	0.17280359	0.5537897
FXYD7	-0.04417405	0.8306231
FYB	-0.56319713	0.0226716
FYCO1	0.11880636	0.6615129
FYN	0.99831319	0.0017511
FYTTD1	-0.86130734	0.022796
FZD1	0.94836283	0.020234
FZD10	1.26474417	0.0093737
FZD10-AS1	0.25707226	0.110409
FZD2	-0.12323466	0.5747322
FZD3	0.54622192	0.257189
FZD4	-0.38854699	0.0205485
FZD5	0.01252031	0.9595547
FZD6	-0.20149747	0.6983677
FZD7	1.32411529	0.1334607
FZD9	0.09584794	0.6087997
FZR1	0.13590789	0.3992668
G0S2	0.01874909	0.9802062
G2E3	-0.65265198	0.0151342
G3BP1	-1.19045362	0.0000555
G3BP2	-1.34991006	0.0011442
G6PC	-0.03278727	0.8435179
G6PC2	0.0973896	0.7308192
G6PC3	0.49959449	0.0812283
G6PD	-0.24091354	0.2328246
GAA	0.81284285	0.0053061
GAB1	-0.59244604	0.1124653
GAB2	-0.07286902	0.8628995
GAB3	-0.09407148	0.6815224
GAB4	0.03484178	0.9288732
GABARAP	0.02727795	0.9020869
GABARAPL1	-0.41272316	0.0610044
GABARAPL2	0.04046173	0.8523791
GABARAPL3	-0.19264336	0.2947913
GABBR1	-0.19487872	0.2316823
GABBR2	0.50351249	0.1985513
GABPA	-0.77606202	0.0339976
GABPB1	-0.45146236	0.2698389
GABPB1-AS1	1.10084772	0.0015096
GABPB2	0.11936007	0.6683036
GABRA1	-0.05592056	0.7983622
GABRA2	-0.10833592	0.5851764
GABRA3	0.14643969	0.5269259
GABRA4	0.75918532	0.1060143
GABRA5	-0.16309681	0.3847922
GABRA6	-0.02931433	0.8746256
GABRB1	1.81468768	0.0049296
GABRB2	-0.0783431	0.8178181
GABRB3	-0.1523818	0.4479071
GABRD	-0.07412939	0.7215448
GABRG1	-0.13173156	0.4708883
GABRG2	-0.21050529	0.2032553
GABRG3	0.09132576	0.4823328
GABRG3-AS1	-0.09405551	0.6131145
GABRP	-0.07573696	0.8412828
GABRQ	-0.14651308	0.5005481
GABRR1	0.19182548	0.3570145
GABRR2	-0.26073374	0.2229233
GABRR3	0.02032099	0.9410442
GAD1	-0.16057877	0.4237624
GAD2	-0.32355962	0.0536383
GADD45A	-0.72225209	0.0843158
GADD45B	-0.17871999	0.317938
GADD45G	0.01465721	0.9693488
GADD45GIP1	0.29393882	0.2731805
GADL1	0.06744637	0.7967066
GAFA1	-0.04100142	0.8577336
GAFA2	-0.19020252	0.3032516
GAFA3	-0.03706012	0.8656472
GAGE1	-0.04846301	0.7768428
GAGE3	0.02447104	0.90758
GAK	0.30397873	0.0866026
GAL	0.0163033	0.9671438
GAL3ST1	0.01891051	0.9665254
GAL3ST2	0.06341591	0.7618767
GAL3ST3	-0.15658435	0.520287
GAL3ST4	-0.47409058	0.0261364
GALC	0.45799723	0.0191146
GALE	0.3975275	0.107224
GALK1	0.17182007	0.4741783
GALK2	0.81796016	0.0020565
GALM	0.24505549	0.34444
GALNS	-0.16359577	0.4524038
GALNT1	-1.15852107	0.0089591
GALNT10	0.65102443	0.0030217
GALNT11	0.27862558	0.610435
GALNT12	0.26840334	0.2947959
GALNT13	0.07723551	0.656552
GALNT14	-0.25575395	0.1074687
GALNT15	-1.26926814	0.1832407
GALNT16	-0.04055438	0.817571
GALNT18	-0.13670835	0.3086733
GALNT2	-0.26326867	0.6290531
GALNT3	0.10979657	0.5181731
GALNT5	-0.2215857	0.174985
GALNT6	-0.32590013	0.6032306
GALNT7	-0.89772048	0.1342609
GALNT8	0.05586901	0.8177307
GALNT9	0.09584141	0.5973548
GALNTL5	-0.0851728	0.670253
