Gene	MayorLynn2011.FC	MayorLynn2011.p
SHB	1.4	0.12
RFX5	1.28	0.12
ALAS1	1.18	0.12
STARD10	1	0.12
SNX17	1.32	0.12
CARD6	0.8	0.12
CST3	1.5	0.12
KIAA1026	1.12	0.12
FLJ90652	1.6	0.12
GABPB2	1.43	0.12
SILV	1.43	0.12
VAMP5	1.26	0.12
TAOK2	1.06	0.12
ZMAT5	1.26	0.12
SLC35C1	1.36	0.12
NUCB2	1.59	0.12
ACP2	0.92	0.12
ESRRA	1.49	0.12
TBL3	1.31	0.12
MRPL49	1.18	0.12
SEPN1	1.32	0.12
SLC13A3	1.25	0.12
C16ORF9	1.15	0.12
GTF3C1	1.11	0.12
CT45-4	2.48	0.12
NAPA	1.45	0.12
SSBP4	1.37	0.12
AOAH	1	0.12
FAM127C	1.56	0.12
BSG	1.11	0.12
DERL3	1.06	0.12
BC002942	1.52	0.12
COPG2	1.14	0.12
MPP5	1.41	0.12
MGC17624	1.17	0.12
MELK	1.18	0.12
NFE2L3	1.34	0.12
CYBA	1.53	0.12
RAVER1	1.34	0.12
TNNC1	1.29	0.12
SERPINA1	0.84	0.12
KRT18	1.15	0.12
LOC389432	1.98	0.12
RAC2	1.04	0.12
HOXB5	1.76	0.12
PLAC1	1.2	0.12
TP53	1.78	0.12
VAMP2	1.53	0.12
FAM129B	1.36	0.12
SLC30A2	1.43	0.12
LMNB1	1.11	0.12
ZNF385	1.25	0.12
PLEKHH1	1.25	0.12
NAB2	1.19	0.12
NIBP	1.26	0.12
CLN3	1.15	0.12
LIFR	1.31	0.12
KIAA0258	1.23	0.12
CBLC	1	0.12
BBOX1	1.25	0.12
GPC3	1.3	0.12
GULP1	1.43	0.12
COX7B2	15.08	0.12
VARSL	0.91	0.13
P2RY11	0.87	0.13
ACACB	0.83	0.13
CD300LG	0.44	0.13
NNAT	0.64	0.13
AUP1	0.89	0.13
EEF1G	0.91	0.13
GH1	0.87	0.13
NCOA6	1.09	0.13
PTPRK	1.86	0.13
IDH3B	1.21	0.13
ZNF452	1.82	0.13
AXIN1	1.14	0.13
RASSF1	1.26	0.13
AZIN1	1.47	0.13
PROCR	0.66	0.13
MLL4	1.13	0.13
TP53INP1	1.17	0.13
THRAP3	1.4	0.13
USP9X	1.47	0.13
MRPS15	1.38	0.13
HNRPM	1.23	0.13
TRIM68	1.52	0.13
MGC10993	1.33	0.13
EIF4ENIF1	1.17	0.13
TMEM11	1.22	0.13
TCHP	1.25	0.13
RPIA	1.47	0.13
CALCOCO1	1.29	0.13
HTRA4	0.32	0.13
KIAA0141	1.28	0.13
SUSD1	1.21	0.13
SAP130	1.11	0.13
ADRA2A	1.24	0.13
KIAA0082	1.63	0.13
CREG1	1.93	0.13
CHCHD5	1.39	0.13
PCGF1	1.24	0.13
THRAP4	1.34	0.13
GOLPH3	1.37	0.13
FBXL15	1.19	0.13
CIAPIN1	1.17	0.13
MTSS1	1.64	0.13
DPP8	1.5	0.13
GJA4	0.91	0.13
CDH1	1.33	0.13
C18ORF37	1.13	0.13
PHLDB2	1.5	0.13
POLDIP3	1.15	0.13
C1QBP	1.5	0.13
ACY1	1.41	0.13
PSMD7	1.21	0.13
DEDD	1.13	0.13
C1ORF66	1.27	0.13
CDK2	1.3	0.13
TMEM186	1.4	0.13
PANK4	1.28	0.13
TMEM80	1.21	0.13
LMTK3	1.57	0.13
AP3D1	1.23	0.13
C19ORF24	1.2	0.13
DUSP8	1.71	0.13
POLR2C	1.41	0.13
NCF4	1.17	0.13
HCCA2	1.13	0.13
EEA1	1.78	0.13
PRKCZ	1.1	0.13
OSTM1	1.64	0.13
PFKL	1.02	0.13
TBC1D7	1.58	0.13
MGC15523	1.08	0.13
NUMA1	1.52	0.13
OLFML2B	1.14	0.13
CAP2	1.26	0.13
SDF4	1.36	0.13
LOC112703	1.17	0.13
TNFRSF12A	1.36	0.13
IVD	1.61	0.13
C20ORF29	1.24	0.13
SUPT6H	1.38	0.13
C9ORF86	1.17	0.13
C11ORF52	1.19	0.13
ZNF524	1.36	0.13
ARRDC1	1.77	0.13
C20ORF116	1.16	0.13
NAGLU	1.61	0.13
MAGEF1	1.37	0.13
OGDH	1.23	0.13
BTBD4	1.16	0.13
LTBR	1.4	0.13
C18ORF54	1.11	0.13
UBQLN3	1.36	0.13
ATP6V0B	1.17	0.13
EFEMP1	1.48	0.13
CARD8	1.27	0.13
ZNF335	1.23	0.13
ATF7IP2	1.94	0.13
LNPEP	1.12	0.13
TFCP2L1	1.44	0.13
PA2G4	1.27	0.13
UBE2T	1.31	0.13
PSG5	1.2	0.13
ALDH4A1	1.16	0.13
AIF1	1.27	0.13
DVL3	1.38	0.13
AKTIP	1.35	0.13
PISD	1.28	0.13
ITGB4	1.35	0.13
USP5	1.29	0.13
MYLK	0.92	0.13
SCARB1	0.77	0.13
CYP2J2	1.2	0.13
XLKD1	1.49	0.13
PLA2G2A	1.97	0.13
ALDH16A1	1.14	0.13
PCTP	1.28	0.13
MARVELD3	1.71	0.13
ZNF646	1.38	0.13
DDR1	1.11	0.13
TTLL4	1.16	0.13
MCCC2	1.42	0.13
RNASE1	1.09	0.13
MMP15	1.46	0.13
GRINA	1.55	0.13
TMEM63A	1.32	0.13
ATP6V1B1	1.5	0.13
ITM2C	1.08	0.13
FLJ30834	1.37	0.13
RAB11B	1.22	0.13
ZNHIT2	1.41	0.13
PSG1	1.42	0.13
AES	1.17	0.13
NR1D2	2.26	0.13
GSTA4	1.45	0.13
ATP13A2	1.13	0.13
ARHGAP9	1.11	0.13
FLJ35119	1.67	0.13
CHGN	1.49	0.13
FLJ22349	1.17	0.13
FRAS1	1.54	0.13
GAA	1.43	0.13
CKMT1A	1.21	0.13
TMEM104	1.04	0.13
STT3B	1.38	0.13
LOC144501	1.36	0.13
KCNE1L	1.45	0.13
CD37	0.86	0.13
C1ORF42	1.63	0.13
KRTHB1	0.46	0.13
CX3CR1	1.68	0.13
FLJ12118	1.08	0.14
BRWD2	0.63	0.14
GHR	2.36	0.14
ARV1	2.13	0.14
PSMD11	1.05	0.14
FOXK1	1.78	0.14
ZDHHC14	1.08	0.14
GTF2I	1.02	0.14
C16ORF53	1.23	0.14
HSPA8	1.06	0.14
PLAGL2	1.12	0.14
POLR2J3	1.27	0.14
RDH11	1.58	0.14
HOXD12	1.15	0.14
ZZEF1	1.18	0.14
RABGAP1	1.45	0.14
PHCA	0.81	0.14
AP3B1	1.45	0.14
DUSP14	1.51	0.14
SLC6A2	0.81	0.14
SYNCRIP	1.49	0.14
HECTD1	1.36	0.14
ACTR10	1.12	0.14
SLC25A3	1.18	0.14
TSEN54	1.11	0.14
SLC26A2	1.83	0.14
ELOF1	1.31	0.14
STX5A	1.05	0.14
GUSB	1.01	0.14
TEX264	1.06	0.14
ZFYVE19	1.6	0.14
TXNDC14	1.17	0.14
GAB1	1.53	0.14
LOC339344	1.49	0.14
COPS5	1.52	0.14
PSMD6	1.34	0.14
PHC2	1.7	0.14
HSPC142	1.22	0.14
ASS	1.7	0.14
PIGC	1.38	0.14
CXORF53	1.84	0.14
CLIP1	1.24	0.14
PINK1	0.93	0.14
RNF130	1.56	0.14
C15ORF40	1.57	0.14
RPL10L	1.05	0.14
FLJ10241	1.2	0.14
SMARCD2	1.18	0.14
CSNK2A1	1.2	0.14
ZFAND6	1.82	0.14
ADAM12	0.93	0.14
FLOT1	0.98	0.14
DHCR7	0.84	0.14
AURKA	1.16	0.14
MTX1	1.06	0.14
CCR7	0.85	0.14
ALKBH1	1.28	0.14
TBX3	1	0.14
CREB5	1.05	0.14
FN5	1.53	0.14
LYPLAL1	1.42	0.14
IDH3A	1.09	0.14
FBXW5	1.16	0.14
C13ORF10	1.86	0.14
C1ORF122	1.33	0.14
PWWP2	1.34	0.14
RBM4B	1.35	0.14
GTF2E1	1.32	0.14
PPM1D	1.22	0.14
ETFA	1.28	0.14
IMMT	1.33	0.14
PGLS	1.5	0.14
SHARPIN	1.31	0.14
PRKCH	1.24	0.14
KEAP1	1.32	0.14
CRSP7	1.27	0.14
PCDH18	1.11	0.14
TRIM26	1.06	0.14
ECH1	1.2	0.14
C6ORF79	1.35	0.14
HAVCR2	1.33	0.14
GLDC	1.36	0.14
STAU	1.29	0.14
ZNF707	1.26	0.14
ZFPL1	1.25	0.14
ZNF609	1.4	0.14
VAC14	1.42	0.14
PHACTR2	1.1	0.14
TAF6	1.29	0.14
GPATC3	1.41	0.14
HIST1H2BC	1.15	0.14
CD86	1.16	0.14
ENTPD6	1.32	0.14
ARL5A	1.44	0.14
MRPL38	1.27	0.14
SURF4	1.28	0.14
HDHD3	1.34	0.14
PDIA6	1.18	0.14
TSPAN13	1.46	0.14
PHF12	1.32	0.14
BAT2	1.26	0.14
GPR172A	1.24	0.14
ALOX5AP	1.81	0.14
LOC441208	1.56	0.14
AP2A2	1.49	0.14
CABIN1	1.25	0.14
C17ORF65	1.33	0.14
SLC3A2	1.22	0.14
PLXNA3	1.34	0.14
NR2F6	1.1	0.14
OS9	1.45	0.14
FBLN1	1.07	0.14
STRN4	1.32	0.14
TTC7B	1.48	0.14
DOCK2	1.09	0.14
TBC1D10B	1.14	0.14
TRAP1	1.61	0.14
LY86	1.05	0.14
CISH	1.11	0.14
SIAE	1.15	0.14
APLN	2.22	0.14
UBAP2L	1.34	0.14
ETV4	1.03	0.14
FLJ13576	1.36	0.14
PYGO2	1.59	0.14
MGC24665	1.42	0.14
WDR24	1.41	0.14
PSCD3	1.43	0.14
HYOU1	1.23	0.14
C6ORF1	1.74	0.14
GRN	1.17	0.14
ZNF219	1.33	0.14
C9ORF46	1.35	0.14
IFRD2	1.46	0.14
FLJ13841	1.04	0.14
POLM	1.46	0.14
CLEC11A	1.77	0.14
DAK	1.43	0.14
ABHD11	1.38	0.14
CNGA1	1.4	0.14
IGSF6	1.09	0.14
QKI	1.64	0.14
MGP	1.65	0.14
ADHFE1	1.4	0.14
SLC2A11	1.2	0.14
GMPR	1.29	0.14
C1QC	1.13	0.14
PLAC2	1.59	0.14
SPP1	1.4	0.14
SMCX	1.17	0.14
C1QB	1.2	0.14
TMEM176B	1.7	0.14
OLFM4	1.45	0.14
ILDR1	1.81	0.14
CNTFR	1.19	0.14
KIF6	0.58	0.15
ATF3	0.89	0.15
C1ORF71	0.8	0.15
LOC130951	0.87	0.15
LRCH4	0.94	0.15
NR2C2	0.94	0.15
ARHGAP30	1.02	0.15
DDX39	1.05	0.15
PPP1R11	0.99	0.15
HRBL	0.83	0.15
RASGRP1	1.79	0.15
PDRG1	1.13	0.15
HSPC196	1.04	0.15
HNRPA2B1	1.15	0.15
TAF4	1.12	0.15
ZNF313	1.16	0.15
LOC90580	1.14	0.15
CAD	1.46	0.15
NIPA2	1.28	0.15
PTPNS1	0.97	0.15
LAD1	0.9	0.15
PEF1	0.96	0.15
NAP1L5	1.91	0.15
WDR40A	1.05	0.15
CSE1L	1.34	0.15
MYST3	1.28	0.15
TM9SF2	1.18	0.15
LSP1	1.25	0.15
MGC42174	1.24	0.15
EPAS1	1.1	0.15
TRIM6	1.72	0.15
TCIRG1	1.29	0.15
MGC88387	1.06	0.15
WDR77	1.24	0.15
GTF3C2	1.33	0.15
BLVRA	1.39	0.15
GARNL4	1.85	0.15
PDE6D	1.26	0.15
RPL13A	1.34	0.15
KDELR2	1.34	0.15
IARS2	1.49	0.15
MBD1	1.24	0.15
TCTA	1.05	0.15
NSUN5	1.3	0.15
CAT	1.44	0.15
IPO8	1.39	0.15
PGS1	1.08	0.15
PVRL3	1.04	0.15
SERTAD3	1.3	0.15
GRB2	1.04	0.15
RPL26L1	1.52	0.15
PSMA5	1.24	0.15
CASC3	1.19	0.15
DKFZP547C195	1.26	0.15
E2F4	1.2	0.15
HSD17B4	1.17	0.15
AMMECR1	1.52	0.15
RTN2	1.5	0.15
CLTA	1.28	0.15
FLJ38288	1.4	0.15
FAM112B	3.16	0.15
C17ORF32	1.29	0.15
KIF5B	1.53	0.15
FLJ21749	1.59	0.15
LPHN1	1	0.15
MCM3	1.41	0.15
C20ORF117	1.61	0.15
PHB2	1.34	0.15
COX6B1	1.14	0.15
FKBP2	1.21	0.15
MAFG	1.3	0.15
CLIC3	1.09	0.15
GDF15	0.91	0.15
USP42	1.16	0.15
C9ORF10OS	1.18	0.15
DOM3Z	1.61	0.15
PEPD	0.9	0.15
TNFAIP1	1.22	0.15
GCOM1	1.02	0.15
FAM96A	1.31	0.15
CDCA5	0.97	0.15
PDHX	1.51	0.15
LOC92345	1.28	0.15
TFB2M	1.72	0.15
PODXL2	1.41	0.15
MTA2	1.31	0.15
CD14	1.17	0.15
HGF	1.01	0.15
HOOK2	1.62	0.15
HEXA	1.41	0.15
SSSCA1	1.14	0.15
MPST	1.37	0.15
SFMBT1	1.48	0.15
ZNF513	1.35	0.15
DSCR3	1.35	0.15
NHN1	1.34	0.15
SORBS2	1.38	0.15
RPP25	1.88	0.15
NDRG3	1.17	0.15
SQLE	1.43	0.15
LDHB	1.37	0.15
XRCC3	1.12	0.15
C2ORF24	1.16	0.15
UCHL3	1.38	0.15
GLT8D2	1.51	0.15
UBE1C	1.36	0.15
WDR34	1.42	0.15
TRAF2	1.26	0.15
RNF25	1.68	0.15
PIGY	1.63	0.15
PDK3	1.12	0.15
LRP10	1.09	0.15
KDELC2	1.31	0.15
PLEKHG6	1.26	0.15
LMBR1	1.62	0.15
MFSD5	1.25	0.15
CXCL14	1.58	0.15
C14ORF143	1.74	0.15
KLHL18	1.46	0.15
RHOG	1.14	0.15
LITAF	1.17	0.15
MLL3	1.31	0.15
TRUB2	1.17	0.15
ZFP2	1.92	0.15
SLC29A1	1.47	0.15
OIP5	0.95	0.15
APEH	1.23	0.15
USP46	1.31	0.15
ACSS1	1.55	0.15
PLK3	1.66	0.15
FAM82C	1.13	0.15
FAAH	1.51	0.15
GGH	1.37	0.15
GRASP	1.38	0.15
D4ST1	1.35	0.15
CD24	1.39	0.15
SFXN5	1.69	0.15
SLC13A4	1.07	0.15
PSCD4	1.15	0.15
EFHA2	1.85	0.15
ATG9A	1.25	0.15
SIX4	1.37	0.15
HM13	0.98	0.15
SLC35A4	1.07	0.15
ATP5D	1.31	0.15
SLC22A11	1.42	0.15
WDR58	1.27	0.15
ZNF702	2.24	0.15
GNB2	1.41	0.15
SGTA	1.35	0.15
PDE7B	1.14	0.15
MAN2B1	1.33	0.15
MANSC1	1.42	0.15
TMPRSS13	1.07	0.15
LYPD1	1.33	0.15
LRRC16	2.25	0.15
CPLX1	1.03	0.15
STAB1	1.44	0.15
E2F5	1.77	0.15
FCGR1B	1.04	0.15
C1QA	1.21	0.15
PCDH1	1.11	0.15
LYPD5	1.35	0.15
CORO1A	1.29	0.15
ITGAM	1.27	0.15
IRF2BP1	1.52	0.15
SOD3	1.63	0.15
DISP2	0.4	0.16
CSH2	0.8	0.16
CPA4	2.3	0.16
EIF2B4	1.08	0.16
SAV1	2.01	0.16
PRDM10	1.02	0.16
TSFM	1.19	0.16
CCNE1	0.78	0.16
MASK-BP3	1.08	0.16
SMAD4	1.09	0.16
SEPX1	0.8	0.16
OSBPL11	1.07	0.16
RTF1	1.07	0.16
NUP188	0.96	0.16
GTPBP8	1.67	0.16
ZNF217	1.24	0.16
AGL	1.7	0.16
SUPT4H1	1.18	0.16
FNDC3A	1.19	0.16
CENTD2	1.77	0.16
LOC51035	1.11	0.16
NUP88	1.28	0.16
WDR13	1.35	0.16
DHX35	1.15	0.16
C16ORF80	1.32	0.16
SNX19	1.31	0.16
FLJ36445	1.82	0.16
SIGIRR	1.12	0.16
RSAFD1	1.19	0.16
TLE4	1.48	0.16
ODF2	1.19	0.16
ALG9	1.11	0.16
YIPF6	1.25	0.16
GALNT11	1.99	0.16
RNF44	1.59	0.16
BNIP1	1.24	0.16
USF2	1.15	0.16
MRPS11	1.33	0.16
MCOLN1	1.04	0.16
LOC497661	1.89	0.16
C6ORF136	1.4	0.16
MTMR12	1.09	0.16
NUFIP2	1.43	0.16
TH1L	1.31	0.16
ATAD1	1.34	0.16
ARL6IP4	1.42	0.16
PPME1	1.01	0.16
MGC2654	1.35	0.16
SRPR	1.06	0.16
MAP1LC3B	1.31	0.16
CPSF3L	1.43	0.16
DUSP12	1.41	0.16
EIF3S6IP	1.19	0.16
WIPI1	1.44	0.16
VPS45A	1.4	0.16
STRAP	1.32	0.16
MGC2749	1.16	0.16
SMARCA5	1.7	0.16
ERGIC3	1.2	0.16
CDH5	0.85	0.16
ATP5C1	1.3	0.16
ACTR1B	1.43	0.16
DYNLL2	1.34	0.16
ZNF419	1.18	0.16
ERBB2	0.98	0.16
RNPS1	1.3	0.16
OLR1	1.92	0.16
STX10	1.13	0.16
HBEGF	1.69	0.16
ILF3	1.35	0.16
GMPPA	1.28	0.16
SLU7	1.5	0.16
ZNF500	1.46	0.16
TOR1A	1.25	0.16
C16ORF7	1.63	0.16
PTEN	1.2	0.16
NPAT	1.66	0.16
CYFIP1	1.49	0.16
NOB1P	1.44	0.16
ZNF446	1.25	0.16
DNAJC11	1.25	0.16
ATP5F1	1.38	0.16
MAFF	1.14	0.16
JTB	1.2	0.16
NIF3L1BP1	1.35	0.16
CHP	1.28	0.16
PIK4CB	1.21	0.16
SHKBP1	1.08	0.16
NOMO1	1.25	0.16
CTDSP1	1.1	0.16
RAB2	1.3	0.16
DDX48	1.29	0.16
NXF1	1.35	0.16
SLC7A8	1.04	0.16
PTGES2	1.19	0.16
MCM4	1.23	0.16
HYAL2	0.95	0.16
GSTK1	1.28	0.16
KIAA1698	1.17	0.16
NEU1	1.08	0.16
ZCCHC3	1.38	0.16
BET1	1.35	0.16
CLEC4G	0.72	0.16
B3GNT6	1.34	0.16
GRAMD1C	1.72	0.16
HNRPH2	1.31	0.16
SLC16A2	1.56	0.16
RBM21	1.15	0.16
TXNDC11	1.4	0.16
GBA2	1.26	0.16
RNH1	1.24	0.16
FLJ20254	1.22	0.16
LSM3	1.47	0.16
ZNF408	1.51	0.16
KIAA0319L	1.28	0.16
RENT1	1.15	0.16
CIB2	1.14	0.16
CALR	1.2	0.16
C19ORF6	1.23	0.16
C20ORF45	1.27	0.16
C6ORF85	1.08	0.16
FES	1.17	0.16
KIAA0664	1.34	0.16
KTI12	1.24	0.16
PRPF8	1.02	0.16
DRAP1	1.27	0.16
TXNDC5	1.08	0.16
CDC42SE1	1.4	0.16
LOC643516	1.23	0.16
GLDN	1.1	0.16
EIF5A	1.05	0.16
HMG2L1	1.47	0.16
CENPM	1.09	0.16
RGS19	1.2	0.16
P2RY6	1.09	0.16
ACTN4	1.33	0.16
GRK6	1.44	0.16
MRS2L	1.67	0.16
LNK	1.56	0.16
SPIRE2	1.22	0.16
CAMKK2	1.73	0.16
ANKRD47	1.03	0.16
CLASP2	1.68	0.16
LOC283871	1.5	0.16
SCARA3	1.34	0.16
ATP10D	1.8	0.16
CMKLR1	0.86	0.16
URP2	1.3	0.16
RIT1	1.22	0.16
MCM2	1.59	0.16
BTK	1.31	0.16
PROSAPIP1	1.25	0.16
SLC22A18	1.74	0.16
ZDHHC24	1.19	0.16
ARL4C	1.94	0.16
HCST	1.23	0.16
TFEB	1.68	0.16
AGPAT5	3.11	0.16
PACS1	1.58	0.16
TBC1D10A	1.23	0.16
OSBP2	0.93	0.16
ACVRL1	1.15	0.16
RPESP	1.27	0.16
LRRC61	1.02	0.16
TMEM8	1.28	0.16
PSG8	0.78	0.16
MUC1	0.43	0.17
HSU79303	1.19	0.17
LEMD2	0.86	0.17
RWDD2	2.24	0.17
NHLRC2	0.89	0.17
KIAA0232	1.99	0.17
PLCL2	0.93	0.17
GNA12	1.67	0.17
ZBTB17	1.07	0.17
CXORF33	1.23	0.17
SQSTM1	1.03	0.17
EFNA4	1.19	0.17
ACACA	1.53	0.17
TSG101	1.04	0.17
LIPA	1.08	0.17
C16ORF57	1.08	0.17
GNE	0.94	0.17
FBXO22	1.01	0.17
LOC648293	1.23	0.17
SOD1	1.01	0.17
RANBP1	1.26	0.17
RAE1	1.19	0.17
VPS33B	1.62	0.17
FLJ22709	0.7	0.17
QTRT1	1.6	0.17
KIAA1754	1.18	0.17
RASA1	1.1	0.17
HYPB	1.48	0.17
PSTPIP2	1.78	0.17
FLJ38482	2.24	0.17
SEDLP	1.63	0.17
UTP11L	1.38	0.17
KPNB1	1.45	0.17
HSPC171	1.13	0.17
CDK6	1.7	0.17
PIK3C2B	0.79	0.17
DOCK1	1.56	0.17
TMEM31	1.19	0.17
GABARAPL1	1.28	0.17
CHPT1	1.68	0.17
SLC38A1	1.13	0.17
EIF3S4	1.17	0.17
ACIN1	1.41	0.17
NMI	1.89	0.17
UQCRFS1	1.19	0.17
MT	1.05	0.17
CREB3L2	1.29	0.17
LRRC57	1.58	0.17
PPP1R3D	1.83	0.17
SETDB1	1.2	0.17
TUBB2C	1.01	0.17
ORF1-FL49	1.33	0.17
ABHD5	1.24	0.17
ZC3H14	1.68	0.17
SSBP1	1.36	0.17
TGFB1I1	1.35	0.17
DBI	1.37	0.17
SREBF2	1.66	0.17
GRHPR	1.29	0.17
RFXANK	1.19	0.17
FAM45A	1.7	0.17
TMEM134	1.42	0.17
UBADC1	1.3	0.17
LOC130074	1.39	0.17
TMEM87B	1.46	0.17
ADCY6	1.49	0.17
CAMK2G	1.22	0.17
SIAH2	1.48	0.17
NAT9	1.33	0.17
HSD17B8	1.45	0.17
CTDP1	1.31	0.17
TREX1	1.34	0.17
DYNLRB1	1.16	0.17
XAGE3	1.27	0.17
KBTBD8	1.42	0.17
SEC11L3	2.02	0.17
BEXL1	1.27	0.17
FLJ21839	1.35	0.17
NDUFA11	1.26	0.17
FLJ38020	1.29	0.17
LOC391356	1.27	0.17
MTA1	1.55	0.17
HADH2	0.97	0.17
CENPA	1.06	0.17
CAPZB	1.36	0.17
FIS1	1.22	0.17
YEATS4	1.52	0.17
TPP1	1.12	0.17
SLC39A6	1.52	0.17
LOC115098	1.13	0.17
IPO7	0.99	0.17
PPP1R10	1.47	0.17
NOSIP	1.24	0.17
GLI3	1.42	0.17
BCAP29	1.13	0.17
LASS5	1.68	0.17
METTL7A	1.61	0.17
B3GAT3	1.19	0.17
WDSUB1	1.35	0.17
AKT1S1	1.62	0.17
MGC50811	1.04	0.17
COBRA1	1.36	0.17
SOS2	1.11	0.17
LOC375449	1.69	0.17
ISOC2	1.28	0.17
SND1	1.25	0.17
TRIM62	1.29	0.17
SYT7	1.16	0.17
EEFSEC	0.9	0.17
RBED1	1.31	0.17
KIAA0907	1.28	0.17
C16ORF24	1.69	0.17
MYST2	1.22	0.17
LOC283377	1.07	0.17
C22ORF5	1.23	0.17
PLEKHQ1	1.24	0.17
PITPNM1	1.62	0.17
CSK	1.36	0.17
PIP3-E	1.47	0.17
C12ORF32	1.47	0.17
LGI2	1.57	0.17
ZFPM1	1.81	0.17
FUCA1	1.11	0.17
PLXNA1	1.66	0.17
PLCG2	1.33	0.17
UBTD1	1.53	0.17
REEP4	1.36	0.17
IPPK	1.54	0.17
IFI30	0.94	0.17
BCR	1.15	0.17
ASAH3L	1.09	0.17
ENG	0.76	0.17
LOC606724	1.2	0.17
HMGA1	1.36	0.17
CD320	1.13	0.17
FLJ10925	1.34	0.17
FRZB	1.34	0.17
NEURL2	3.23	0.17
ECRG4	1.63	0.17
FLJ46109	1.27	0.18
CDC91L1	0.75	0.18
LYN	0.83	0.18
PLCB1	0.76	0.18
M6PR	0.93	0.18
S100P	0.88	0.18
C14ORF151	0.76	0.18
FXN	1	0.18
SLC9A1	0.97	0.18
C20ORF35	0.99	0.18
NONO	1.12	0.18
LARP2	1	0.18
B4GALT3	0.94	0.18
ACAA1	1.11	0.18
PRELID1	1.04	0.18
SDF2	1.03	0.18
FCGR2A	0.77	0.18
TRADD	1.06	0.18
GPIAP1	1.18	0.18
SNRPA	1.18	0.18
DENND1A	0.95	0.18
KCTD2	1.04	0.18
GMEB1	1.08	0.18
TNFAIP8L1	0.73	0.18
CDK9	1.11	0.18
CCDC32	1.19	0.18
GRRP1	0.72	0.18
EDEM3	1.59	0.18
LARS2	1.12	0.18
PRKAG2	1.21	0.18
COPS4	1.53	0.18
ZNF447	1.29	0.18
NAP1L4	1.34	0.18
GJA5	1.43	0.18
PLXNB1	1.39	0.18
HUS1B	1.36	0.18
IQWD1	1.64	0.18
FLJ10769	1.26	0.18
PSENEN	1.54	0.18
RBM28	1.17	0.18
HOXB1	1.38	0.18
WDR21A	1.19	0.18
ACAD8	1.3	0.18
CPNE1	1.31	0.18
F25965	1.45	0.18
TRA1P2	1.58	0.18
C12ORF44	1.09	0.18
DNTTIP1	1.25	0.18
ASS1	1.72	0.18
NDUFB11	1.22	0.18
MRPL45	1.33	0.18
POP7	1.11	0.18
FKBP9L	1.48	0.18
DGKA	1.23	0.18
MOBKL2B	1.69	0.18
SFRS9	1.23	0.18
BRPF3	1.34	0.18
DSCR2	1.87	0.18
NASP	1.31	0.18
KIAA0195	1.4	0.18
EDG1	1.11	0.18
CUGBP1	1.28	0.18
ATP5G3	1.4	0.18
KIAA0261	1.63	0.18
TMEM77	1.85	0.18
CDC5L	1.52	0.18
THAP7	1.23	0.18
ZFAND2B	1.12	0.18
C14ORF2	1.27	0.18
C17ORF62	1.38	0.18
DPM3	1.42	0.18
METTL5	1.67	0.18
ABT1	1.47	0.18
CASP9	1.51	0.18
AKR1A1	1.27	0.18
TALDO1	1.05	0.18
HMGN2	1.3	0.18
D4S234E	1.11	0.18
TRIP10	1.38	0.18
PCQAP	1.42	0.18
HINT2	1.35	0.18
PFDN1	1.18	0.18
LEF1	1.04	0.18
SFRS8	1.55	0.18
MEA1	1.18	0.18
SOCS1	1.75	0.18
MFAP3	1.15	0.18
RAI16	1.25	0.18
ARHGAP26	1.25	0.18
ACBD6	1.38	0.18
FZD1	1.21	0.18
MGC15875	1.38	0.18
USP10	1.45	0.18
XKR8	1.29	0.18
IDH2	1.19	0.18
RAD23B	1.72	0.18
DVL2	1.28	0.18
TLL1	0.77	0.18
MVP	1.42	0.18
DLX3	1.23	0.18
EIF3S1	1.52	0.18
HS1BP3	1.36	0.18
RUVBL1	1.2	0.18
HDGF2	1.4	0.18
NDUFA13	1.26	0.18
SLC23A2	1.42	0.18
SULT1A3	1.12	0.18
MYO9A	1.35	0.18
RPS26L	1.13	0.18
PLEKHF2	1.15	0.18
TSPAN14	1.03	0.18
RHOD	1.2	0.18
NSD1	1.13	0.18
DAG1	1.21	0.18
KIAA1967	1.1	0.18
HIST1H2AC	1.27	0.18
GNG2	2	0.18
MED12	1.01	0.18
FCGRT	1.26	0.18
MAP4K3	1.44	0.18
KIF20A	1.04	0.18
GADD45GIP1	0.77	0.18
ARFGEF2	1.12	0.18
ID3	1.58	0.18
ARRB1	1.18	0.18
NUP210	1.53	0.18
SAPS1	1.39	0.18
DNM2	1.03	0.18
RAD51AP1	1.29	0.18
LRP2	1.39	0.18
C14ORF124	1.09	0.18
LILRB5	1.03	0.18
ADAMTS19	1.74	0.18
PSG11	0.81	0.18
UNC93B1	1.45	0.18
LRRN6A	1.48	0.18
OPN3	1.17	0.18
MTMR7	1.54	0.18
CD36	1.2	0.18
PGLYRP1	1.28	0.18
TPRXL	1.59	0.18
ABCG2	1.84	0.18
LOC388610	1.07	0.19
HES4	1.29	0.19
FAM65A	0.94	0.19
HBG2	0.75	0.19
KCTD5	0.96	0.19
C9ORF58	0.64	0.19
WNT3A	0.72	0.19
AP3S2	0.96	0.19
RPS6KL1	0.87	0.19
SNAPC5	1.82	0.19
CLCN3	1.07	0.19
ZGPAT	1.07	0.19
CS	1.08	0.19
GPRC5C	1.65	0.19
COPS7B	1.05	0.19
TRRAP	1.18	0.19
PIGS	1.03	0.19
TTC5	1.66	0.19
FRAP1	1.17	0.19
