Gene	Ackerman2015.log2FC	Ackerman2015.padj
UGT8	-0.281843562	0.205255191
C11orf63	-0.281668933	0.778954662
FPR3	-0.281575151	0.897272976
LPXN	-0.281539305	0.725259119
PPP3CA	-0.281500803	0.457963067
MGLL	-0.281329138	0.272603414
NDST3	-0.281242748	0.848290847
MAGEB10	-0.281235237	0.856744806
LACC1	-0.281201769	0.622355022
42259	-0.281152954	NA
EML1	-0.28105526	0.296949955
PDGFD	-0.281009653	0.901615803
RAD54L	-0.280802798	0.829147681
LEFTY2	-0.280799632	0.932255337
HLA-DMA	-0.280648509	0.852775757
CYB5R4	-0.280515667	0.302170591
HCN2	-0.280492841	NA
ALPK3	-0.280342123	0.828205286
SMAD5	-0.280329954	0.517876361
OR2C1	-0.280297377	NA
PPP1R16B	-0.280222784	0.741842074
CD74	-0.280184354	0.834976683
EPHA10	-0.280175884	0.743367731
CHRFAM7A	-0.280155478	NA
HBG1	-0.280150514	0.891354256
OLR1	-0.280145467	0.854690363
BTN3A3	-0.279986851	0.796707068
HDDC2	-0.279769667	0.633453182
RRS1	-0.279720767	0.746214963
C1orf186	-0.279677467	0.889297261
NCMAP	-0.279649945	0.697068531
FRK	-0.279633462	0.842999236
EMILIN1	-0.279366257	0.824660617
ZNF230	-0.278902507	0.719028724
SPRR3	-0.278837488	NA
XCL1	-0.278769812	0.907705586
LRRC10B	-0.278593845	NA
TRAF1	-0.278483497	0.783928965
UGT2B15	-0.278299957	NA
LPA	-0.278257193	NA
PPP2R5B	-0.27798174	0.704527723
FAM3D	-0.277922303	NA
IPPK	-0.277865096	0.411842563
IL2RG	-0.277818357	0.85716344
SCARF1	-0.277774289	0.640201125
WDR87	-0.277772008	NA
GLIPR1L2	-0.277668698	0.752896915
IFNA1	-0.277666047	NA
PCDHB14	-0.27752913	0.849986061
CHRD	-0.277130029	0.860687516
FOCAD	-0.27712565	0.367786735
VSTM1	-0.276630611	0.907705586
PVRL2	-0.276521733	0.807934173
GUCY2F	-0.276520812	0.909296512
MGMT	-0.276496328	0.854690363
NFIX	-0.276485739	0.827790035
METTL2A	-0.276362671	0.609548273
CFI	-0.27629949	0.771105151
TCTEX1D4	-0.276283881	0.881091319
FBXO44	-0.27598287	0.863614483
RFX5	-0.275974197	0.724627464
SLC6A11	-0.275887133	0.929000486
PGLYRP1	-0.275780763	NA
NEIL3	-0.275721377	0.860687516
MKNK2	-0.275218452	0.634065018
COX7A1	-0.27517381	0.884578023
NFIB	-0.275011711	0.520703479
SPR	-0.274968981	0.817510107
CDO1	-0.274966813	0.592170124
SUCNR1	-0.274939049	NA
CD82	-0.27479956	0.737359536
MEAF6	-0.274726123	0.11223951
CMC4	-0.274283818	0.844460868
SPRED2	-0.274104117	0.669217394
ECI2	-0.274087414	0.713577644
ACCS	-0.27399292	NA
STON2	-0.273949599	0.844460868
KIF5C	-0.273752751	0.875923422
PARP3	-0.27368482	0.789673896
COPG2	-0.273678987	0.793985543
ST8SIA6	-0.27363066	0.924763077
UBE2C	-0.273600617	0.827790035
PIFO	-0.273371938	0.85376796
ABHD6	-0.273367864	0.754402551
KHDRBS2	-0.273358004	0.911837467
SLC35G2	-0.273341768	0.785178249
HOXA13	-0.273204461	0.754669854
HES1	-0.273199324	0.723543917
FAM60A	-0.273134134	0.267743573
ZNF835	-0.272705387	0.807934173
SELENBP1	-0.272415189	0.839880826
NPY2R	-0.27237173	NA
BIRC3	-0.272350076	0.697730068
ROBO1	-0.272270385	0.741842074
DDX4	-0.272125634	NA
TUBB4A	-0.272118823	NA
JAKMIP3	-0.271803156	NA
PSMB9	-0.271777043	0.852376041
COMMD8	-0.271330364	0.740798026
BIRC5	-0.271098365	0.85621068
PTH2R	-0.271060906	0.910837129
ZNF667	-0.270965682	0.828205286
RTL1	-0.27086999	0.925455864
CELSR2	-0.270567724	0.839731269
PCDHB12	-0.270482007	0.897272976
CENPM	-0.270453328	0.910837129
CLDN4	-0.270195952	0.521228136
ZC3HAV1	-0.270147278	0.502569912
COX4I2	-0.269980678	0.563213371
DMC1	-0.269978505	0.772290774
GNAO1	-0.269848191	NA
LIG4	-0.269777038	0.730436685
CDHR3	-0.269717367	0.851416559
CASP6	-0.269699608	0.741842074
IL12RB1	-0.26950775	0.697068531
TMEM123	-0.269390718	0.48420657
PCDHB3	-0.269355825	NA
VMAC	-0.268948663	0.583693269
FMR1NB	-0.268892637	NA
COX11	-0.268868609	0.572829247
RAB27B	-0.268536842	0.889794858
SPINK8	-0.26847467	NA
OXLD1	-0.268241205	0.783877133
TDO2	-0.26821905	NA
MZT1	-0.268197311	0.805550854
CD69	-0.268161925	0.932149649
SP140	-0.268104293	0.908832321
COMP	-0.267914735	0.899440072
FAM24B	-0.26788107	NA
ZC2HC1C	-0.267596053	0.739766302
NBPF6	-0.267473614	NA
CYP2R1	-0.267452512	0.856744806
DNM3	-0.26720129	0.85621068
ATP6V1E2	-0.267161035	0.907705586
CENPV	-0.26710444	0.920079002
NAA60	-0.267051707	0.512125377
KAT2B	-0.267005925	0.300718966
MRPL42	-0.266895706	0.48420657
TM4SF1	-0.266633028	0.856744806
SLC4A5	-0.266477028	0.717712385
SIRT4	-0.266390742	0.924807083
BMP7	-0.266320358	0.622831857
C3orf35	-0.26629552	0.872876197
GRM6	-0.266293936	0.844444107
C14orf182	-0.266268409	0.89497259
S100A8	-0.266100954	0.755543756
ZDHHC21	-0.265783983	0.607310079
DCP2	-0.265747104	0.555057052
C16orf96	-0.265636949	NA
METTL17	-0.265633578	0.365325552
BLID	-0.26551478	0.849986061
ZNF157	-0.265475975	NA
ABHD3	-0.265363067	0.708730814
CAPNS2	-0.26514236	0.932149649
PRDM9	-0.265024506	NA
ARHGAP28	-0.264997693	0.622831857
SLC26A11	-0.264922232	0.499093829
SIX1	-0.264909524	NA
ABHD15	-0.264806872	0.743367731
LPO	-0.264734432	NA
ZSCAN16	-0.264658462	0.897272976
FLT3LG	-0.264639187	0.909296512
TAS2R41	-0.264619781	0.921772443
UBE2T	-0.264509905	0.849986061
AGAP11	-0.264489957	0.877501598
HDDC3	-0.264184504	0.791145618
ARSG	-0.264137114	0.834439283
ENPP5	-0.264110993	0.884578023
TMEM52	-0.264019651	NA
ERMP1	-0.263973861	0.717712385
ZWILCH	-0.263697464	0.677073083
ACN9	-0.263482597	0.863399423
SP7	-0.263190183	NA
PLSCR3	-0.263190183	NA
SLITRK2	-0.263190183	NA
PTN	-0.263022565	0.852290622
KCNAB1	-0.263018795	0.932149649
FAM198A	-0.262916626	0.775561867
PARD6A	-0.262834816	NA
WEE2	-0.262697786	NA
CNTNAP4	-0.262619777	NA
CCNA2	-0.262572093	0.812716836
ZFP28	-0.262413149	0.771345575
ADCYAP1	-0.262171592	NA
STAMBPL1	-0.262096325	0.907705586
GSTCD	-0.261978936	0.648068635
XPOT	-0.26192803	0.598868758
NKG7	-0.261798921	0.941334501
TMEM249	-0.261751533	NA
LMX1B	-0.261738289	0.741842074
SLC23A2	-0.261567271	0.459496136
TMEM71	-0.261469162	0.915269439
MYBL1	-0.261255342	0.726564836
ADCY4	-0.261238499	0.740798026
ECEL1	-0.260853296	0.926187363
KCNA7	-0.260844819	0.863614483
ST14	-0.260606071	0.347347042
NXPH1	-0.26049007	NA
WDR5B	-0.260443909	0.500414389
CDH18	-0.260331019	0.898307646
PMEPA1	-0.260329279	0.863614483
ITGA6	-0.260325643	0.745873257
MED7	-0.260221316	0.668800182
CATSPERG	-0.260196101	0.888126506
TSPAN32	-0.260177389	NA
C9	-0.260132107	0.907227113
ZBTB20	-0.260107767	0.633423173
CARD11	-0.260064684	NA
TPST1	-0.259791643	0.846588254
VWA3A	-0.259763275	NA
EXOC5	-0.259725903	0.136686587
STXBP6	-0.259703372	0.684138196
BMP5	-0.259672291	0.790309375
SYT12	-0.259543116	0.883625399
ZBTB2	-0.259496349	0.456250669
CPLX1	-0.259446019	0.937836721
ORC6	-0.259068456	0.772005163
BEND7	-0.259008823	0.781780515
CCDC159	-0.258918599	0.804174371
DNAH6	-0.258786179	0.911326243
MTMR11	-0.258731084	0.67520699
FOXI3	-0.258705971	0.907705586
SBSPON	-0.258705392	0.770954477
NXNL1	-0.258384113	NA
PSMA1	-0.25837543	0.393139175
ANXA9	-0.258137743	NA
MIXL1	-0.258093679	0.884578023
TAZ	-0.258068621	0.585256573
MDFIC	-0.258055398	0.500414389
APOBEC3A	-0.257983089	0.932149649
FHIT	-0.25795868	0.863109418
HERC6	-0.257945478	0.657489684
ARRB1	-0.257912271	0.577935018
FAM126A	-0.257885446	0.712377216
CDHR5	-0.257818017	NA
CDK1	-0.257756632	0.85440557
MUC1	-0.257648699	0.934498714
STC2	-0.25754941	0.851781981
ARPC5	-0.25753812	0.785178249
PPP1R3D	-0.257532968	0.67520699
CACNG4	-0.257355872	0.941334501
AQP10	-0.257317569	NA
MCTP2	-0.257297048	0.632678115
TK1	-0.257227338	0.856744806
MAP3K1	-0.257221577	0.395038198
SULF1	-0.257171899	0.894009736
ATG4C	-0.256959353	0.71370804
RECQL5	-0.256939437	0.717712385
FANCL	-0.256866187	0.677886668
ZFP36L2	-0.256838043	0.7703353
PTTG1	-0.256811272	0.836363096
NR6A1	-0.256688679	0.40079531
HSF2	-0.256652935	0.697730068
ZNF880	-0.256539499	0.555501715
CALCR	-0.256487252	0.909296512
PAN2	-0.256369691	0.098161922
TCEAL8	-0.256327877	0.622831857
DZIP3	-0.256314202	0.702913576
PALM3	-0.256305692	0.926187363
IL1RAP	-0.256216081	0.737359536
FAM83E	-0.256160596	0.923702812
SFRP2	-0.255889972	NA
PNPLA7	-0.255811526	0.891354256
HEY1	-0.255638279	0.674700542
PDXP	-0.255585864	0.894077833
ZBTB7C	-0.25556623	0.880850818
DOCK3	-0.255513842	0.925455864
ZWINT	-0.255342103	0.873264864
ACTBL2	-0.255328375	NA
CAMKK1	-0.25513897	0.891354256
CENPW	-0.25497197	0.884446333
GBX2	-0.254917997	NA
ITGB3	-0.254908884	0.864978161
ARHGAP29	-0.254897996	0.697730068
GGCT	-0.254891365	0.752896915
SKIL	-0.254793313	0.691255194
RASA4	-0.254755729	0.856562927
HPN	-0.254720862	NA
SHCBP1	-0.254645359	0.856744806
APOL2	-0.254390899	0.697730068
MRS2	-0.254295506	0.343008421
KNDC1	-0.254108034	0.926187363
FHDC1	-0.253899969	0.679869014
TTK	-0.253560561	0.860687516
AGPAT5	-0.253432406	0.932149649
CDH10	-0.253408985	NA
E2F1	-0.253157557	0.824451111
USH2A	-0.253051127	0.891811644
CAMK1	-0.252852907	0.854165022
NPPB	-0.252709198	NA
NT5DC3	-0.252595436	0.883625399
CSRP3	-0.252344402	NA
MIR205HG	-0.252305976	0.846230111
TMC6	-0.252243667	0.85042685
BRICD5	-0.252179864	0.895933356
ATP11C	-0.252135311	0.741842074
WFDC1	-0.252054596	0.860687516
GNB4	-0.252039241	0.697730068
GSDMA	-0.251832396	0.85716344
RWDD2A	-0.251764259	0.849986061
FAM76A	-0.251705305	0.62386679
IRF1	-0.251625434	0.821003604
C7orf73	-0.251611969	0.572829247
PSMA4	-0.251586358	0.512125377
IGSF1	-0.251504166	0.883625399
ZBTB12	-0.251499336	0.907705586
PTP4A3	-0.251413481	0.851890971
HGFAC	-0.251216612	NA
EXD1	-0.250989806	0.856744806
ECM2	-0.250889231	0.911635068
ZNF709	-0.25086256	0.630911815
NAGK	-0.250834685	0.3781094
EFCAB3	-0.250771447	0.911635068
B3GNT2	-0.250711369	0.642719403
MLKL	-0.250697478	0.752896915
NLN	-0.250669831	0.454244095
TMEM176A	-0.250655075	0.855043148
ZMAT3	-0.250569262	0.711609384
CDCA3	-0.250466016	0.897272976
FOXD1	-0.250440236	0.933690788
BRWD1	-0.25043029	0.57354769
RECQL4	-0.250206064	0.846599755
RAET1E	-0.250153297	0.859329565
KCNJ13	-0.250144863	NA
ZNF492	-0.250103142	0.835212171
TTC32	-0.250071963	0.857432639
CORIN	-0.250054019	0.913217024
DSN1	-0.250020194	0.29539597
FAM49A	-0.249944826	0.489471989
LBH	-0.249866598	0.836116742
LGALS2	-0.249647063	NA
RXFP3	-0.249601113	NA
NEK6	-0.249426972	0.807934173
PTPN3	-0.249417575	0.572373375
C1orf189	-0.249212812	NA
INPP5F	-0.249205406	0.039410856
SIPA1L2	-0.249122848	0.698127914
CD244	-0.248924325	NA
CECR2	-0.24892257	0.442518243
TTC16	-0.248846115	NA
CNOT6	-0.248673746	0.852775757
UPB1	-0.248665368	NA
GPAM	-0.248590948	0.663623568
HSCB	-0.248551929	0.817798078
SPAG6	-0.248532815	0.932149649
RPA2	-0.248439925	0.752896915
ASB12	-0.248232142	NA
EML6	-0.248226126	0.909296512
CNTLN	-0.248033423	0.671195545
TMEM133	-0.248025701	0.749680218
SMOC1	-0.247979994	0.875923422
DUSP18	-0.247931813	0.875923422
CHRNA7	-0.247742643	0.864033862
NUSAP1	-0.247634151	0.859400761
ABHD12B	-0.247404342	NA
PRND	-0.247103816	0.85621068
ZNF175	-0.246935535	0.911635068
RASAL1	-0.246909699	0.928220606
VPREB3	-0.246820252	NA
HCRTR1	-0.246795721	NA
TIGD2	-0.246741372	0.597159225
POPDC2	-0.246571424	0.81475184
NR1H3	-0.246560415	0.836867879
FCER2	-0.246415199	NA
SBK1	-0.24641251	0.934853794
WFS1	-0.245900001	0.800774432
MIF4GD	-0.245796998	0.793985543
TRIB3	-0.245648095	0.849937558
DMBX1	-0.245580037	0.925327335
CNN1	-0.245432645	0.943323799
PCDHA11	-0.245222081	NA
UHRF1	-0.245120716	0.787225641
SEC61G	-0.245097474	0.820348993
PPIL6	-0.2449716	0.742194672
C17orf51	-0.24493567	0.878952849
COMMD10	-0.244901186	0.572829247
ZNF135	-0.244888488	0.855327301
CFB	-0.2448552	0.906525599
PBOV1	-0.244824956	0.859329565
ARHGAP30	-0.244753802	0.589246486
KPNA2	-0.244715995	0.804148683
GPX7	-0.244679819	0.907705586
ZNF827	-0.24465649	0.751520484
TNFRSF10B	-0.244433616	0.441344565
WBP2NL	-0.244356016	0.907705586
ENPP1	-0.244346658	0.893985879
SVIP	-0.24434022	0.880705413
C16orf59	-0.244307509	0.923361492
PDZD3	-0.244199824	NA
C3orf52	-0.244184653	0.846230111
KCNJ12	-0.243914068	0.942585408
TRIM65	-0.243875301	0.576699604
KITLG	-0.24384284	0.85440557
F2RL2	-0.243756664	0.894077833
CCDC171	-0.243698947	0.583188105
DHFR	-0.243597501	0.805550854
HSPE1	-0.243509825	0.781780515
ELMOD2	-0.243470573	0.48578702
TLX1	-0.243444726	NA
PPA2	-0.243353896	0.658052212
PRKD2	-0.243240908	0.577935018
ETV2	-0.243191015	NA
LMAN1L	-0.242873013	NA
P2RX2	-0.242617684	NA
DCTD	-0.24259006	0.397186298
WDR76	-0.242296398	0.776268151
MRPL35	-0.242235741	0.63824033
SLC9B2	-0.2421904	0.864978161
NME1	-0.24216664	0.846230111
ACSF2	-0.241977101	0.367786735
C10orf55	-0.241937628	NA
OR1Q1	-0.241881495	NA
OR56A3	-0.241850671	NA
FAM135A	-0.241850265	0.59092696
ATP1A3	-0.241621131	NA
PIANP	-0.241543042	NA
STEAP3	-0.241480182	0.857790126
OPHN1	-0.241302012	0.725259119
HMMR	-0.24125009	0.864978161
LURAP1	-0.241150298	0.864978161
PLGRKT	-0.241090536	0.508717585
NGFR	-0.240841977	0.851313261
TOX3	-0.240728729	NA
LRP2	-0.240543277	0.85716344
HPCA	-0.240533168	NA
ANP32D	-0.240510572	NA
NEK7	-0.240428876	0.811181045
SGK494	-0.240410372	0.482412522
BMPR1A	-0.240346454	0.493209978
OMA1	-0.240289215	0.697068531
SRXN1	-0.240288038	0.714487868
GPR56	-0.240282797	0.741842074
DCST2	-0.240268015	0.897272976
CCDC65	-0.240244934	NA
SH3BP1	-0.240234531	0.698127914
BBIP1	-0.240143072	0.737359536
TMEM177	-0.240090606	0.924370494
NUP35	-0.239933056	0.751236646
PANX3	-0.239754361	NA
TUBA1B	-0.239629401	0.752896915
NUP43	-0.239601106	0.259665449
PPAT	-0.239532241	0.697730068
EFCAB13	-0.239500878	0.849986061
HOXC4	-0.239437076	0.929251003
DBF4B	-0.239353739	0.805550854
ZNRF3	-0.239258968	0.520703479
TMEM105	-0.23904741	0.930541525
AP1AR	-0.238968662	0.787318167
XPNPEP1	-0.238812627	0.167875838
HIST1H4A	-0.238752075	0.897272976
PSAT1	-0.238734874	0.932149649
ARHGAP42	-0.238705064	0.800774432
PABPC4L	-0.238650096	0.767621059
TDGF1	-0.238542361	0.9220148
KIF14	-0.238541604	0.812716836
MYLK2	-0.238311085	NA
ELAC1	-0.238233522	0.752414936
SGPP1	-0.238206645	0.544169894
VENTX	-0.238107484	0.846230111
CRIPAK	-0.23789107	0.84530673
CCL22	-0.2375808	0.85621068
PCP4L1	-0.237486002	0.85716344
NAP1L3	-0.237395626	0.942585408
MOB3C	-0.237304474	0.474729204
ZFYVE9	-0.237057664	0.442518243
RNF157	-0.23702138	0.786852379
NDC80	-0.236990073	0.882521804
FAM102B	-0.236985903	0.741842074
PRDM14	-0.236936369	NA
EID3	-0.236913016	0.829015501
ICAM4	-0.236810024	0.899306904
UBA7	-0.236795143	0.779557836
FANCI	-0.23677618	0.737252656
ZMYND10	-0.236651397	NA
AIPL1	-0.236580335	0.866621511
IRF4	-0.236513564	NA
RTN4IP1	-0.236475954	0.852290622
ARHGAP40	-0.236466781	NA
COX20	-0.23643853	0.668388992
HLA-A	-0.236390862	0.69918405
PALM2-AKAP2	-0.236388703	NA
TMEM158	-0.236379176	NA
CCDC138	-0.236361923	0.893985879
BEND4	-0.236314997	0.943323799
GPR183	-0.236163996	0.907705586
HS6ST3	-0.23616019	NA
PREX2	-0.2360725	0.470059433
MAGEA11	-0.236055031	0.846588254
EGFLAM	-0.236049524	0.783928965
ERVV-1	-0.235923194	0.880705413
ASPM	-0.235854897	0.85376796
USP6NL	-0.235204341	0.771474805
PCDHB11	-0.235129889	0.921499763
FAR1	-0.235129274	0.844444107
INPP5J	-0.2351219	NA
MICALCL	-0.234917763	0.907705586
CYP2J2	-0.234727708	0.752896915
PABPC5	-0.234707573	NA
ZBTB24	-0.234561612	0.629223096
DOCK4	-0.234485418	0.365437552
TMEM9	-0.234318943	0.804148683
AKR1E2	-0.234209279	0.904233865
SCD5	-0.23417444	0.395731475
TSPAN15	-0.234102589	0.846956009
GLUD1	-0.234100394	0.45469524
VAX2	-0.234097798	NA
XKR5	-0.233918224	0.870324775
PACSIN2	-0.233653606	0.697730068
TLR4	-0.233627884	0.65629843
C9orf96	-0.233576538	0.898383231
TSPAN9	-0.233552214	0.512125377
C11orf1	-0.233438366	0.883625399
C17orf98	-0.233420608	NA
BLMH	-0.233413892	0.530233313
POMT1	-0.233404558	0.597024187
LGMN	-0.233290698	0.697730068
GALR3	-0.23327282	NA
MOCOS	-0.233225452	0.854690363
TRIM8	-0.23305335	0.79484846
WNT3A	-0.233037122	0.894077833
SH3YL1	-0.23301921	0.254192176
GALR1	-0.232995115	NA
ADCY8	-0.232995115	NA
DDX26B	-0.232856014	0.852270402
EID1	-0.23281603	0.474245589
RCBTB2	-0.232810049	0.741842074
42066	-0.232790189	0.888910475
CLIC2	-0.232780486	0.856744806
C4orf46	-0.232691913	0.846230111
SAA1	-0.232528327	0.948376322
SMYD2	-0.232214141	0.786852379
CLCN2	-0.23218542	0.885743372
ZNF273	-0.232083612	0.76105353
IGFBPL1	-0.232063194	0.891055526
PCDHAC1	-0.232047157	NA
TRIM25	-0.232003312	0.653522161
KLHDC7A	-0.231985637	NA
TTBK2	-0.231937284	0.697730068
RASSF5	-0.231925831	0.830872916
TACC2	-0.231906745	0.585256573
NFKBIZ	-0.231888758	0.717773959
DKKL1	-0.231835439	NA
NTSR1	-0.231728791	NA
ASB14	-0.231728791	NA
ZDHHC20	-0.231677957	0.763408379
THY1	-0.231645032	0.854165022
TPPP	-0.231606162	0.897272976
SMYD3	-0.231427086	0.79817362
KIF23	-0.231421864	0.778920182
RNF170	-0.231346032	0.517876361
ABCA10	-0.231241817	0.874901105
BTN3A1	-0.231145371	0.783928965
ZNF501	-0.231120409	0.880850818
GSTO1	-0.231108345	0.749680218
MKS1	-0.230947699	0.807934173
PRKX	-0.230921909	0.860687516
SLC39A10	-0.230858684	0.675909704
GOLGA6D	-0.230850276	NA
SLC6A9	-0.230833639	0.898307646
C9orf24	-0.230820844	NA
GAMT	-0.230786722	0.903365046
ASNS	-0.230753856	0.909296512
KCNH3	-0.230486527	NA
ZNF362	-0.230394046	0.752896915
IL1RAPL1	-0.230361826	NA
CPA6	-0.230360213	NA
VSIG1	-0.230187546	0.836408923
PAX5	-0.230111427	NA
ATP5E	-0.229882103	NA
ANP32E	-0.229863008	0.824451111
ZNF22	-0.229860033	0.716630556
CYP2E1	-0.229814098	0.932515063
IQCB1	-0.229657626	0.853395244
METAP1D	-0.229559048	0.907227113
42068	-0.229557525	0.207361745
RBM4	-0.22954419	0.691418015
PERP	-0.229379492	0.472058463
ATF5	-0.229279009	0.804763408
LRRIQ1	-0.229218178	NA
TMEM170A	-0.229173497	0.521010659
ERAP1	-0.229172885	0.777231602
SLC31A2	-0.22914124	0.525078671
FMN2	-0.229010892	NA
CLEC4A	-0.229007305	0.929205591
CISD2	-0.228904196	0.801004668
CDCA7	-0.228685111	0.780194498
ERI2	-0.228673499	0.805122897
HSD11B1	-0.228561437	0.924807083
ZMAT5	-0.228559079	0.853268836
NUDT4	-0.228505882	0.834976683
SMAD1	-0.228297919	0.807934173
ZNF180	-0.22819536	0.697068531
RAB23	-0.228184859	0.742149554
IL10RA	-0.227921729	0.701552189
CIDEC	-0.227684388	NA
ARHGEF37	-0.227461354	0.697068531
CNRIP1	-0.227433421	0.849986061
FAM115C	-0.22739463	0.754402551
FMR1	-0.227293764	0.457963067
IFITM2	-0.22726636	0.863614483
TMEM194A	-0.227210365	0.481205081
SGCD	-0.227197276	0.947850007
TMEM170B	-0.227111823	0.668388992
FBXL17	-0.227104612	0.500082113
EFNA2	-0.227035852	NA
RDH13	-0.226906204	0.88547382
ZEB2	-0.226889689	0.778954662
HPSE2	-0.22688629	0.93767252
TMEM69	-0.226823171	0.688149422
C19orf71	-0.226734915	0.926187363
PCGF6	-0.226545379	0.742789504
SOCS5	-0.226462369	0.836533373
SLC35G5	-0.226396312	NA
CDK18	-0.226254334	0.870252708
GDPGP1	-0.226232532	0.932566954
ZDHHC14	-0.226208222	0.85376796
MARVELD2	-0.226193117	0.584697097
CDC20	-0.22617355	0.889794858
CCDC42B	-0.226140913	NA
EPHX3	-0.226098394	NA
RHD	-0.226028728	0.879618021
RPGRIP1	-0.225994374	0.901220768
TNK2	-0.225731332	0.742286619
AFF1	-0.225728016	0.48420657
KCNE4	-0.225684278	0.761643693
HLA-DMB	-0.225680497	0.80923004
IFIT3	-0.225669927	0.861017428
HIST1H3A	-0.225625045	0.893541264
HOOK1	-0.225549048	0.804763408
PCID2	-0.225544808	0.637384033
TBPL1	-0.225538332	0.749680218
DET1	-0.22552244	0.80923004
AMPD2	-0.225438615	0.514321442
RBM45	-0.225434335	0.854690363
EPHA4	-0.225399875	0.854690363
PIK3C2B	-0.225376214	0.741842074
TBC1D9	-0.225373522	0.178730758
FSCB	-0.225307262	NA
FRMD1	-0.22506889	NA
AHI1	-0.22505945	0.571272187
PPIL1	-0.224815535	0.697730068
OXCT1	-0.224793098	0.846230111
FAM181B	-0.224745077	NA
RYBP	-0.224653246	0.826681764
CD96	-0.224539778	0.923541284
RASIP1	-0.224439366	0.697922388
SYT1	-0.224384482	0.781780515
TUFT1	-0.224355198	0.771345575
SLC45A3	-0.224338772	0.948578126
CTHRC1	-0.224320627	0.904358464
SHISA4	-0.224226488	0.907705586
ARL2	-0.224206528	0.769207843
ST8SIA4	-0.22404194	0.622831857
HHIPL1	-0.224012674	0.902257929
CENPQ	-0.223858141	0.870324775
ITIH3	-0.223803322	0.945130883
SPDYE5	-0.223754559	NA
AZIN1	-0.223727327	0.725259119
EPM2A	-0.223693557	0.854690363
SEMA6B	-0.223651961	0.856937005
HYLS1	-0.223618116	0.846230111
KSR2	-0.223455149	NA
POU4F1	-0.223409673	NA
OR8A1	-0.223406233	NA
CXCL14	-0.22329323	0.954258527
GATA1	-0.223192383	NA
ANKRD10	-0.222879581	0.572829247
CUTC	-0.222848276	0.677073083
HEMGN	-0.222757198	0.933832841
C9orf37	-0.222695601	0.608504527
RAD51D	-0.222568995	0.835646214
WDR54	-0.222467982	0.928220606
KCTD19	-0.22242451	NA
PRAP1	-0.222397971	0.938793569
IL11	-0.222319477	0.863614483
POLN	-0.222312512	0.901912869
BAX	-0.222264331	0.741842074
CCNY	-0.222258463	0.528621077
NDOR1	-0.222252625	0.781780515
PCDHGA12	-0.222030815	0.833796401
DYNAP	-0.221986434	0.921801882
C9orf169	-0.221918148	NA
OVCH2	-0.221834337	0.941038393
ARRDC5	-0.221635395	NA
DLG4	-0.22159815	0.805450578
THPO	-0.221556917	NA
CCDC79	-0.221547412	NA
NCAPH	-0.221494413	0.878952849
COL15A1	-0.221492036	0.838977238
SLFN12	-0.221486429	0.897272976
MAP3K9	-0.221261345	0.797107919
MTERF	-0.221222481	0.786852379
PLD4	-0.221161804	0.952870793
POLB	-0.221155195	0.810683373
EPM2AIP1	-0.221123774	0.440599079
MRGPRF	-0.221078116	0.910355372
CDX1	-0.221037685	NA
TMOD2	-0.220994478	0.752896915
ZXDB	-0.220992626	0.62386679
ZNF578	-0.220854848	0.621744897
TMEM67	-0.220837389	0.880850818
PAQR7	-0.220824087	0.804763408
MPHOSPH6	-0.220766085	0.781780515
C10orf35	-0.220751663	NA
COL18A1	-0.220750398	0.799309375
PRICKLE1	-0.220747732	0.898307646
MEGF6	-0.220642247	0.883625399
ASIC2	-0.220611176	NA
ICAM1	-0.22060574	0.591584961
PIM2	-0.220586735	0.849986061
SLC20A2	-0.220512329	0.335489509
RSPO1	-0.22046413	NA
TLR5	-0.220462198	0.614074833
GABRR2	-0.220303774	0.917607826
GABRB3	-0.220257073	0.944662255
MICALL2	-0.220198245	0.841156128
SLC35B4	-0.220186649	0.807934173
FOSB	-0.220146248	0.943323799
EXOSC6	-0.220126155	0.622466596
LCOR	-0.220100832	0.570920985
PALM2	-0.220071514	0.715957252
MLNR	-0.22006005	NA
TM7SF2	-0.21991254	0.849986061
DUSP14	-0.219876873	0.713739973
MAPKBP1	-0.21983403	0.575935286
ZNF717	-0.219818545	0.842054954
GLIS1	-0.219748666	NA
PNPLA1	-0.219702766	0.932149649
HTATIP2	-0.219587082	0.826681764
EYA2	-0.219578941	0.875923422
AGGF1	-0.219550566	0.443270559
TRANK1	-0.219512064	0.539194161
GZF1	-0.219506934	0.510577279
ABHD13	-0.219505327	0.496926054
SMAD9	-0.219465756	0.849986061
SEZ6L2	-0.219438194	0.933690788
ALCAM	-0.219389198	0.859400761
CDH19	-0.219167473	0.873264864
FNDC3A	-0.219114048	0.690602837
SLC50A1	-0.219043136	0.652906129
TAB3	-0.219024363	0.643198083
MYLIP	-0.218952264	0.395038198
CTAG2	-0.218906841	NA
CGRRF1	-0.218866622	0.834768946
PARD6B	-0.218818081	0.781780515
RICTOR	-0.21876142	0.063139053
MARK1	-0.218691392	0.860143606
COX7B2	-0.218628676	NA
RP2	-0.218580636	0.776696662
PGPEP1L	-0.218506105	NA
ANKRD45	-0.218484255	0.921523396
ATP5J2	-0.218397737	0.807934173
TEX35	-0.218372979	NA
ATP2A1	-0.218367723	0.921622444
PI4K2B	-0.218348602	0.754506923
ZFP14	-0.218309042	0.574130803
SOWAHB	-0.218287641	0.905954533
CDC6	-0.218195512	0.851492186
CLEC3B	-0.218144447	0.863614483
LCN12	-0.218017119	NA
